name,ticker,experiment,feature_family,balanced_accuracy_recent_regime,balanced_accuracy_test,f1_macro_recent_regime,f1_macro_test,roc_auc_ovr_weighted_recent_regime,roc_auc_ovr_weighted_test
nvidia,NVDA,core_plus_broad_dollar,core_macro+dollar,0.32176386913229016,0.3378378378378379,0.1841001942267765,0.164594974721557,0.4859095137353047,0.45275281847250304
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,0.32505926979611194,0.3333333333333333,0.14882075471698114,0.15568862275449102,0.4715665499155713,0.5174421233341993
nvidia,NVDA,core_plus_rates,core_macro+rates,0.35154101469890947,0.33564333564333565,0.2942702854337611,0.2117729457833243,0.471457393587032,0.48085609226109743
nvidia,NVDA,core_plus_semi_etf,core_macro+semi_etf,0.32354196301564725,0.3333333333333333,0.16269575342791284,0.15476190476190477,0.46729553656950024,0.4449851664377588
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,0.33157894736842103,0.34938784938784934,0.27396640826873386,0.2324783255015813,0.4472445892935156,0.4844664838991925
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,0.29646489641826085,0.25794871794871793,0.19460765683704792,0.19990543735224586,0.422197129999717,0.4496587002531221
samsung_electronics,005930,core_plus_domestic_alpha,core_macro+domestic_alpha,0.2695177817962628,0.29931623931623935,0.2162177691589456,0.2361340456532297,0.45569672817723034,0.4400509691140497
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,0.3163789219885156,0.31196581196581197,0.14638872707929237,0.2569031932894121,0.47909081280193233,0.47721010741890146
samsung_electronics,005930,core_plus_rates,core_macro+rates,0.29008026395101677,0.33564102564102566,0.17158372491535542,0.22631174026773349,0.4880576446532586,0.44778572390849
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,0.27725548047333526,0.33871794871794875,0.16265388707038855,0.2767156862745098,0.4637914652456131,0.47698716781316536
samsung_electronics,005930,proposed_daily_extended,core_macro+rates+dollar+semi_etf,0.28952507851908255,0.3460683760683761,0.19518240044555835,0.24897119341563786,0.4133776198229687,0.44161402385988785
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,0.33774928774928775,0.32736609795433325,0.15186458608833642,0.1791756727031808,0.45381065919438013,0.45267129911927084
sk_hynix,000660,core_plus_domestic_alpha,core_macro+domestic_alpha,0.32193732193732194,0.3331024531024531,0.1564313847429519,0.16788575409265064,0.48149400986610286,0.48485323781368733
sk_hynix,000660,core_plus_monthly_industry,core_macro+monthly_industry,0.33589743589743587,0.3333333333333333,0.14814814814814814,0.1519756838905775,0.49092625032159914,0.48018842587231503
sk_hynix,000660,core_plus_rates,core_macro+rates,0.3333333333333333,0.3333333333333333,0.12745098039215685,0.1519756838905775,0.5482827779455687,0.5193789294000677
sk_hynix,000660,core_plus_semi_etf,core_macro+semi_etf,0.3247863247863248,0.3333333333333333,0.12479474548440066,0.1519756838905775,0.48840792196606153,0.48985765336614806
sk_hynix,000660,proposed_daily_extended,core_macro+rates+dollar+semi_etf,0.3333333333333333,0.3333333333333333,0.12745098039215685,0.1519756838905775,0.5108301732720337,0.5393487309381205
