name,ticker,experiment,feature_family,feature,xgboost_feature_importance
nvidia,NVDA,core_plus_semi_etf,core_macro+semi_etf,soxx_t_minus_5,0.051841381937265396
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,nasdaq_t_minus_1,0.033611103892326355
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,sox_t_minus_1,0.034957319498062134
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,vix_t_minus_1,0.03406156226992607
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,us_rate_t_minus_1,0.039242178201675415
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,usd_krw_t_minus_1,0.03252222761511803
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,nasdaq_t_minus_3,0.04126377031207085
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,sox_t_minus_3,0.03920209780335426
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,vix_t_minus_3,0.03893716633319855
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,us_rate_t_minus_3,0.04031533747911453
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,usd_krw_t_minus_3,0.03548184782266617
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,nasdaq_t_minus_5,0.03528113663196564
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,sox_t_minus_5,0.03980729728937149
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,vix_t_minus_5,0.03311247006058693
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,us_rate_t_minus_5,0.038463640958070755
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,usd_krw_t_minus_5,0.03651920333504677
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_electronic_component_industrial_production_t_minus_1,0.044754378497600555
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_electronic_component_industrial_production_t_minus_3,0.042184293270111084
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_electronic_component_industrial_production_t_minus_5,0.03914056718349457
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_related_device_ppi_t_minus_1,0.05628674849867821
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_related_device_ppi_t_minus_3,0.04848555102944374
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,semiconductor_related_device_ppi_t_minus_5,0.05132629722356796
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,computers_electronic_products_new_orders_t_minus_1,0.05962163209915161
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,computers_electronic_products_new_orders_t_minus_3,0.0639517679810524
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,computers_electronic_products_new_orders_t_minus_5,0.04147041589021683
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,nasdaq_t_minus_1,0.02492992952466011
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,sox_t_minus_1,0.021801335737109184
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,vix_t_minus_1,0.03204112872481346
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_rate_t_minus_1,0.02914801798760891
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,usd_krw_t_minus_1,0.027730481699109077
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,nasdaq_t_minus_3,0.03568920120596886
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,sox_t_minus_3,0.032091204077005386
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,vix_t_minus_3,0.03190041705965996
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_rate_t_minus_3,0.02475360780954361
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,usd_krw_t_minus_3,0.02792852744460106
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,nasdaq_t_minus_5,0.0249687060713768
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,sox_t_minus_5,0.034657880663871765
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,vix_t_minus_5,0.027975011616945267
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,us_rate_t_minus_5,0.03872888162732124
