date,soxx
2010-12-31,18.566667556762695
2011-01-03,18.666667938232422
2011-01-04,18.713333129882812
2011-01-05,18.773332595825195
2011-01-06,19.110000610351562
2011-01-07,19.163333892822266
2011-01-10,19.3700008392334
2011-01-11,19.420000076293945
2011-01-12,19.799999237060547
2011-01-13,19.81333351135254
2011-01-14,20.34000015258789
2011-01-18,20.28333282470703
2011-01-19,19.793333053588867
2011-01-20,19.59000015258789
2011-01-21,19.450000762939453
2011-01-24,19.899999618530273
2011-01-25,19.760000228881836
2011-01-26,19.920000076293945
2011-01-27,20.309999465942383
2011-01-28,19.753332138061523
2011-01-31,19.829999923706055
2011-02-01,20.323333740234375
2011-02-02,20.43000030517578
2011-02-03,20.446666717529297
2011-02-04,20.876667022705078
2011-02-07,20.793333053588867
2011-02-08,20.793333053588867
2011-02-09,20.64666748046875
2011-02-10,20.67333221435547
2011-02-11,20.84000015258789
2011-02-14,21.010000228881836
2011-02-15,20.796667098999023
2011-02-16,21.01333236694336
2011-02-17,21.329999923706055
2011-02-18,21.280000686645508
2011-02-22,20.446666717529297
2011-02-23,20.053333282470703
2011-02-24,20.366666793823242
2011-02-25,20.893333435058594
2011-02-28,20.69333267211914
2011-03-01,20.290000915527344
2011-03-02,20.546667098999023
2011-03-03,20.94333267211914
2011-03-04,20.770000457763672
2011-03-07,20.200000762939453
2011-03-08,20.219999313354492
2011-03-09,19.593332290649414
2011-03-10,19.09666633605957
2011-03-11,19.31333351135254
2011-03-14,19.270000457763672
2011-03-15,19.016666412353516
2011-03-16,18.616666793823242
2011-03-17,18.84000015258789
2011-03-18,18.920000076293945
2011-03-21,19.260000228881836
2011-03-22,19.07666778564453
2011-03-23,19.260000228881836
2011-03-24,19.729999542236328
2011-03-25,19.65999984741211
2011-03-28,19.663333892822266
2011-03-29,19.860000610351562
2011-03-30,19.883333206176758
2011-03-31,19.696666717529297
2011-04-01,19.479999542236328
2011-04-04,19.30666732788086
2011-04-05,19.739999771118164
2011-04-06,20.043333053588867
2011-04-07,19.976667404174805
2011-04-08,19.809999465942383
2011-04-11,19.643333435058594
2011-04-12,19.226667404174805
2011-04-13,19.273332595825195
2011-04-14,19.303333282470703
2011-04-15,19.40333366394043
2011-04-18,19.05666732788086
2011-04-19,19.136667251586914
2011-04-20,19.946666717529297
2011-04-21,19.96666717529297
2011-04-25,19.979999542236328
2011-04-26,20.30666732788086
2011-04-27,20.293333053588867
2011-04-28,20.190000534057617
2011-04-29,20.260000228881836
2011-05-02,20.07666778564453
2011-05-03,19.829999923706055
2011-05-04,19.823333740234375
2011-05-05,19.876667022705078
2011-05-06,20.03333282470703
2011-05-09,19.950000762939453
2011-05-10,20.046667098999023
2011-05-11,19.899999618530273
2011-05-12,20.15999984741211
2011-05-13,19.913333892822266
2011-05-16,19.633333206176758
2011-05-17,19.389999389648438
2011-05-18,19.74333381652832
2011-05-19,19.57666778564453
2011-05-20,19.536666870117188
2011-05-23,19.136667251586914
2011-05-24,18.969999313354492
2011-05-25,19.139999389648438
2011-05-26,19.31999969482422
2011-05-27,19.549999237060547
2011-05-31,19.84666633605957
2011-06-01,19.270000457763672
2011-06-02,19.246667861938477
2011-06-03,18.90999984741211
2011-06-06,18.773332595825195
2011-06-07,18.850000381469727
2011-06-08,18.483333587646484
2011-06-09,18.496667861938477
2011-06-10,18.200000762939453
2011-06-13,18.040000915527344
2011-06-14,18.356666564941406
2011-06-15,18.020000457763672
2011-06-16,17.81333351135254
2011-06-17,17.549999237060547
2011-06-20,17.573333740234375
2011-06-21,17.98666763305664
2011-06-22,17.916667938232422
2011-06-23,18.139999389648438
2011-06-24,17.72333335876465
2011-06-27,17.81333351135254
2011-06-28,18.053333282470703
2011-06-29,18.07666778564453
2011-06-30,18.5
2011-07-01,18.89666748046875
2011-07-05,18.746667861938477
2011-07-06,18.59666633605957
2011-07-07,18.950000762939453
2011-07-08,18.690000534057617
2011-07-11,18.366666793823242
2011-07-12,17.84000015258789
2011-07-13,17.78333282470703
2011-07-14,17.520000457763672
2011-07-15,17.59000015258789
2011-07-18,17.376667022705078
2011-07-19,17.920000076293945
2011-07-20,17.850000381469727
2011-07-21,17.983333587646484
2011-07-22,18.420000076293945
2011-07-25,18.203332901000977
2011-07-26,18.32666778564453
2011-07-27,17.67333221435547
2011-07-28,17.636667251586914
2011-07-29,17.489999771118164
2011-08-01,17.469999313354492
2011-08-02,16.963333129882812
2011-08-03,17.163333892822266
2011-08-04,16.17333221435547
2011-08-05,15.846667289733887
2011-08-08,15.0
2011-08-09,15.670000076293945
2011-08-10,15.369999885559082
2011-08-11,16.1299991607666
2011-08-12,16.06333351135254
2011-08-15,16.373332977294922
2011-08-16,16.079999923706055
2011-08-17,15.973333358764648
2011-08-18,15.050000190734863
2011-08-19,14.773332595825195
2011-08-22,14.863332748413086
