date,usd_cny
2010-12-31,6.612400054931641
2011-01-03,6.591599941253662
2011-01-04,6.579999923706055
2011-01-05,6.5970001220703125
2011-01-06,6.577499866485596
2011-01-07,6.616499900817871
2011-01-10,6.617499828338623
2011-01-11,6.625999927520752
2011-01-12,6.610000133514404
2011-01-13,6.594200134277344
2011-01-14,6.595699787139893
2011-01-17,6.57919979095459
2011-01-18,6.5833001136779785
2011-01-19,6.5746002197265625
2011-01-20,6.572700023651123
2011-01-21,6.576600074768066
2011-01-24,6.573599815368652
2011-01-25,6.572400093078613
2011-01-26,6.5725998878479
2011-01-27,6.572000026702881
2011-01-28,6.571899890899658
2011-01-31,6.572500228881836
2011-02-01,6.594799995422363
2011-02-02,6.584799766540527
2011-02-03,6.548500061035156
2011-02-04,6.548500061035156
2011-02-07,6.548500061035156
2011-02-08,6.552599906921387
2011-02-09,6.54449987411499
2011-02-10,6.5802001953125
2011-02-11,6.57450008392334
2011-02-14,6.579800128936768
2011-02-15,6.585299968719482
2011-02-16,6.581399917602539
2011-02-17,6.57859992980957
2011-02-18,6.573699951171875
2011-02-21,6.565499782562256
2011-02-22,6.559899806976318
2011-02-23,6.568999767303467
2011-02-24,6.565999984741211
2011-02-25,6.564499855041504
2011-02-28,6.563000202178955
2011-03-01,6.559500217437744
2011-03-02,6.560999870300293
2011-03-03,6.562699794769287
2011-03-04,6.562399864196777
2011-03-07,6.559000015258789
2011-03-08,6.546500205993652
2011-03-09,6.557300090789795
2011-03-10,6.55049991607666
2011-03-11,6.563300132751465
2011-03-14,6.565499782562256
2011-03-15,6.560400009155273
2011-03-16,6.562399864196777
2011-03-17,6.561600208282471
2011-03-18,6.567200183868408
2011-03-21,6.5594000816345215
2011-03-22,6.554999828338623
2011-03-23,6.542500019073486
2011-03-24,6.547999858856201
2011-03-25,6.55049991607666
2011-03-27,6.550000190734863
2011-03-28,6.554500102996826
2011-03-29,6.5528998374938965
2011-03-30,6.548600196838379
2011-03-31,6.5355000495910645
2011-04-03,6.5391998291015625
2011-04-04,6.53000020980835
2011-04-05,6.5304999351501465
2011-04-06,6.535799980163574
2011-04-07,6.53439998626709
2011-04-10,6.526400089263916
2011-04-11,6.527500152587891
2011-04-12,6.531700134277344
2011-04-13,6.52370023727417
2011-04-17,6.520400047302246
2011-04-18,6.518899917602539
2011-04-19,6.522299766540527
2011-04-20,6.515200138092041
2011-04-21,6.515200138092041
2011-04-24,6.484000205993652
2011-04-25,6.484000205993652
2011-04-26,6.517899990081787
2011-04-27,6.501800060272217
2011-04-28,6.500999927520752
2011-05-01,6.481400012969971
2011-05-02,6.492000102996826
2011-05-03,6.501999855041504
2011-05-04,6.492499828338623
2011-05-05,6.484099864959717
2011-05-08,6.482500076293945
2011-05-09,6.493000030517578
2011-05-10,6.491499900817871
2011-05-11,6.493000030517578
2011-05-12,6.498499870300293
2011-05-15,6.486499786376953
2011-05-16,6.507699966430664
2011-05-17,6.495999813079834
2011-05-18,6.505000114440918
2011-05-19,6.504000186920166
2011-05-22,6.4842000007629395
2011-05-23,6.504000186920166
2011-05-24,6.497499942779541
2011-05-25,6.493000030517578
2011-05-26,6.489999771118164
2011-05-29,6.481200218200684
2011-05-30,6.473800182342529
2011-05-31,6.479000091552734
2011-06-01,6.478000164031982
2011-06-02,6.482800006866455
2011-06-05,6.469799995422363
2011-06-06,6.469299793243408
2011-06-07,6.480999946594238
2011-06-08,6.474999904632568
2011-06-09,6.47599983215332
2011-06-12,6.472300052642822
2011-06-13,6.482999801635742
2011-06-14,6.469699859619141
2011-06-15,6.4721999168396
2011-06-16,6.473999977111816
2011-06-19,6.461999893188477
2011-06-20,6.478000164031982
2011-06-21,6.466000080108643
2011-06-22,6.462900161743164
2011-06-23,6.4670000076293945
2011-06-26,6.463900089263916
2011-06-27,6.481500148773193
2011-06-28,6.468999862670898
2011-06-29,6.4629998207092285
2011-06-30,6.463500022888184
2011-07-03,6.4552998542785645
2011-07-04,6.450900077819824
2011-07-05,6.466000080108643
2011-07-06,6.4670000076293945
2011-07-07,6.465000152587891
2011-07-10,6.456200122833252
2011-07-11,6.4670000076293945
2011-07-12,6.462100028991699
2011-07-13,6.494699954986572
2011-07-14,6.433800220489502
2011-07-17,5.86299991607666
2011-07-18,6.468800067901611
2011-07-19,6.463399887084961
2011-07-20,6.446700096130371
2011-07-21,6.451499938964844
2011-07-24,6.436600208282471
2011-07-25,6.443999767303467
2011-07-26,6.4375
2011-07-27,6.44290018081665
2011-07-28,6.442999839782715
2011-07-31,6.428699970245361
2011-08-01,6.425600051879883
2011-08-02,6.429200172424316
2011-08-03,6.427000045776367
2011-08-04,6.427800178527832
2011-08-07,6.430699825286865
2011-08-08,6.425300121307373
2011-08-09,6.421000003814697
2011-08-10,6.407700061798096
2011-08-11,6.382199764251709
2011-08-14,6.38129997253418
2011-08-15,6.380300045013428
2011-08-16,6.373600006103516
2011-08-17,6.377799987792969
2011-08-18,6.387499809265137
2011-08-21,6.381999969482422
2011-08-22,6.400000095367432
2011-08-23,6.394999980926514
2011-08-24,6.388000011444092
2011-08-25,6.389999866485596
2011-08-28,6.376200199127197
2011-08-29,6.366000175476074
2011-08-30,6.380300045013428
2011-08-31,6.377999782562256
2011-09-01,6.38100004196167
2011-09-04,6.371500015258789
2011-09-05,6.377699851989746
2011-09-06,6.389999866485596
2011-09-07,6.392000198364258
2011-09-08,6.380000114440918
2011-09-11,6.377600193023682
2011-09-12,6.4019999504089355
2011-09-13,6.398499965667725
2011-09-14,6.395999908447266
2011-09-15,6.388000011444092
2011-09-18,6.381999969482422
2011-09-19,6.380499839782715
2011-09-20,6.383999824523926
2011-09-21,6.381100177764893
2011-09-22,6.380499839782715
2011-09-25,6.380099773406982
2011-09-26,6.401000022888184
2011-09-27,6.396999835968018
2011-09-28,6.39300012588501
2011-09-29,6.387499809265137
2011-10-02,6.382500171661377
2011-10-03,6.394999980926514
2011-10-04,6.364999771118164
2011-10-05,6.364999771118164
2011-10-06,6.36899995803833
2011-10-09,6.364999771118164
2011-10-10,6.338500022888184
2011-10-11,6.365499973297119
2011-10-12,6.359000205993652
2011-10-13,6.381999969482422
2011-10-16,6.370800018310547
2011-10-17,6.369999885559082
2011-10-18,6.382999897003174
2011-10-19,6.38100004196167
2011-10-20,6.372700214385986
2011-10-23,6.373499870300293
2011-10-24,6.377999782562256
2011-10-25,6.366000175476074
2011-10-26,6.354000091552734
2011-10-27,6.361000061035156
2011-10-31,6.348800182342529
2011-11-01,6.345200061798096
2011-11-02,6.34630012512207
2011-11-03,6.347099781036377
2011-11-04,6.339799880981445
2011-11-07,6.3302998542785645
2011-11-08,6.349999904632568
2011-11-09,6.3470001220703125
2011-11-10,6.3429999351501465
2011-11-11,6.3470001220703125
