date,usd_krw
2010-12-31,1127.0999755859375
2011-01-03,1122.4000244140625
2011-01-04,1124.800048828125
2011-01-05,1122.0
2011-01-06,1128.0
2011-01-07,1125.800048828125
2011-01-10,1124.0
2011-01-11,1125.4000244140625
2011-01-12,1124.300048828125
2011-01-13,1105.5999755859375
2011-01-14,1110.9000244140625
2011-01-17,1091.4000244140625
2011-01-18,1115.4000244140625
2011-01-19,1111.9000244140625
2011-01-20,1116.0
2011-01-21,1100.199951171875
2011-01-24,1114.0999755859375
2011-01-25,1120.0999755859375
2011-01-26,1117.300048828125
2011-01-27,1114.5
2011-01-28,1110.800048828125
2011-01-31,1117.4000244140625
2011-02-01,1118.5999755859375
2011-02-02,1109.9000244140625
2011-02-03,1109.9000244140625
2011-02-04,1115.5999755859375
2011-02-07,1113.4000244140625
2011-02-08,1099.9000244140625
2011-02-09,1104.4000244140625
2011-02-10,1104.0
2011-02-11,1122.800048828125
2011-02-14,1125.800048828125
2011-02-15,1124.800048828125
2011-02-16,1121.0
2011-02-17,1114.5
2011-02-18,1113.0
2011-02-21,1107.0999755859375
2011-02-22,1117.4000244140625
2011-02-23,1126.5
2011-02-24,1126.0999755859375
2011-02-25,1129.9000244140625
2011-02-28,1127.0999755859375
2011-03-01,1121.199951171875
2011-03-02,1126.0
2011-03-03,1122.5
2011-03-04,1115.9000244140625
2011-03-07,1116.0
2011-03-08,1118.4000244140625
2011-03-09,1115.300048828125
2011-03-10,1115.800048828125
2011-03-11,1125.0
2011-03-14,1119.300048828125
2011-03-15,1126.0999755859375
2011-03-16,1136.199951171875
2011-03-17,1138.5999755859375
2011-03-18,1131.800048828125
2011-03-21,1124.5999755859375
2011-03-22,1118.300048828125
2011-03-23,1123.5
2011-03-24,1124.9000244140625
2011-03-25,1119.0999755859375
2011-03-27,1113.4000244140625
2011-03-28,1112.9000244140625
2011-03-29,1109.5999755859375
2011-03-30,1098.300048828125
2011-03-31,1099.199951171875
2011-04-03,1085.199951171875
2011-04-04,1086.5
2011-04-05,1087.199951171875
2011-04-06,1083.300048828125
2011-04-07,1087.699951171875
2011-04-10,1079.5999755859375
2011-04-11,1087.0
2011-04-12,1090.0
2011-04-13,1088.300048828125
2011-04-17,1089.300048828125
2011-04-18,1090.0999755859375
2011-04-19,1084.300048828125
2011-04-20,1076.5
2011-04-21,1081.0
2011-04-24,1080.800048828125
2011-04-25,1079.300048828125
2011-04-26,1078.0999755859375
2011-04-27,1070.0
2011-04-28,1068.800048828125
2011-05-01,1069.5999755859375
2011-05-02,1068.0
2011-05-03,1073.699951171875
2011-05-04,1077.699951171875
2011-05-05,1083.699951171875
2011-05-08,1095.5
2011-05-09,1075.0999755859375
2011-05-10,1077.699951171875
2011-05-11,1079.699951171875
2011-05-12,1086.9000244140625
2011-05-15,1091.0
2011-05-16,1095.5999755859375
2011-05-17,1062.699951171875
2011-05-18,1087.800048828125
2011-05-19,1080.699951171875
2011-05-22,1087.0
2011-05-23,1095.199951171875
2011-05-24,1093.0999755859375
2011-05-25,1102.199951171875
2011-05-26,1084.9000244140625
2011-05-29,1080.4000244140625
2011-05-30,1075.300048828125
2011-05-31,1073.4000244140625
2011-06-01,1082.800048828125
2011-06-02,1076.5999755859375
2011-06-05,1072.800048828125
2011-06-06,1081.0999755859375
2011-06-07,1079.9000244140625
2011-06-08,1078.199951171875
2011-06-09,1083.5999755859375
2011-06-12,1071.300048828125
