date,nasdaq,sox,vix,us_rate,usd_krw
2010-12-31,2652.8701171875,411.82000732421875,17.75,,1127.0999755859375
2011-01-01,,,,0.17,
2011-01-03,2691.52001953125,415.04998779296875,17.610000610351562,,1122.4000244140625
2011-01-04,2681.25,415.5799865722656,17.3799991607666,,1124.800048828125
2011-01-05,2702.199951171875,417.0899963378906,17.020000457763672,,1122.0
2011-01-06,2709.889892578125,424.7699890136719,17.399999618530273,,1128.0
2011-01-07,2703.169921875,425.760009765625,17.139999389648438,,1125.800048828125
2011-01-10,2707.800048828125,430.1700134277344,17.540000915527344,,1124.0
2011-01-11,2716.830078125,431.5199890136719,16.889999389648438,,1125.4000244140625
2011-01-12,2737.330078125,440.010009765625,16.239999771118164,,1124.300048828125
2011-01-13,2735.2900390625,439.82000732421875,16.389999389648438,,1105.5999755859375
2011-01-14,2755.300048828125,451.5899963378906,15.460000038146973,,1110.9000244140625
2011-01-17,,,,,1091.4000244140625
2011-01-18,2765.85009765625,449.92999267578125,15.869999885559082,,1115.4000244140625
2011-01-19,2725.360107421875,439.3299865722656,17.309999465942383,,1111.9000244140625
2011-01-20,2704.2900390625,434.7699890136719,17.989999771118164,,1116.0
2011-01-21,2689.5400390625,431.6499938964844,18.469999313354492,,1100.199951171875
2011-01-24,2717.550048828125,442.4200134277344,17.649999618530273,,1114.0999755859375
2011-01-25,2719.25,439.1199951171875,17.59000015258789,,1120.0999755859375
2011-01-26,2739.5,442.94000244140625,16.639999389648438,,1117.300048828125
2011-01-27,2755.280029296875,451.2799987792969,16.149999618530273,,1114.5
2011-01-28,2686.889892578125,438.6099853515625,20.040000915527344,,1110.800048828125
2011-01-31,2700.080078125,440.510009765625,19.530000686645508,,1117.4000244140625
2011-02-01,2751.18994140625,451.8299865722656,17.6299991607666,0.16,1118.5999755859375
2011-02-02,2749.56005859375,453.9100036621094,17.299999237060547,,1109.9000244140625
2011-02-03,2753.8798828125,453.6600036621094,16.690000534057617,,1109.9000244140625
2011-02-04,2769.300048828125,463.1099853515625,15.930000305175781,,1115.5999755859375
2011-02-07,2783.989990234375,461.25,16.280000686645508,,1113.4000244140625
2011-02-08,2797.050048828125,460.8999938964844,15.8100004196167,,1099.9000244140625
2011-02-09,2789.070068359375,457.6000061035156,15.869999885559082,,1104.4000244140625
2011-02-10,2790.449951171875,459.25,16.09000015258789,,1104.0
2011-02-11,2809.43994140625,462.82000732421875,15.6899995803833,,1122.800048828125
2011-02-14,2817.179931640625,466.3999938964844,15.949999809265137,,1125.800048828125
2011-02-15,2804.35009765625,461.3800048828125,16.3700008392334,,1124.800048828125
2011-02-16,2825.56005859375,466.55999755859375,16.719999313354492,,1121.0
2011-02-17,2831.580078125,473.2200012207031,16.59000015258789,,1114.5
2011-02-18,2833.949951171875,471.4599914550781,16.43000030517578,,1113.0
2011-02-21,,,,,1107.0999755859375
2011-02-22,2756.419921875,452.80999755859375,20.799999237060547,,1117.4000244140625
2011-02-23,2722.989990234375,444.2699890136719,22.1299991607666,,1126.5
2011-02-24,2737.89990234375,451.8999938964844,21.31999969482422,,1126.0999755859375
2011-02-25,2781.050048828125,463.69000244140625,19.219999313354492,,1129.9000244140625
2011-02-28,2782.27001953125,458.6199951171875,18.350000381469727,,1127.0999755859375
2011-03-01,2737.409912109375,449.7799987792969,21.010000228881836,0.14,1121.199951171875
2011-03-02,2748.070068359375,456.0899963378906,20.700000762939453,,1126.0
2011-03-03,2798.739990234375,464.7699890136719,18.600000381469727,,1122.5
2011-03-04,2784.669921875,459.82000732421875,19.059999465942383,,1115.9000244140625
2011-03-07,2745.6298828125,447.3500061035156,20.65999984741211,,1116.0
2011-03-08,2765.77001953125,447.94000244140625,19.81999969482422,,1118.4000244140625
2011-03-09,2751.719970703125,434.3500061035156,20.219999313354492,,1115.300048828125
2011-03-10,2701.02001953125,423.7300109863281,21.8799991607666,,1115.800048828125
2011-03-11,2715.610107421875,427.9100036621094,20.079999923706055,,1125.0
2011-03-14,2700.969970703125,427.1700134277344,21.1299991607666,,1119.300048828125
2011-03-15,2667.330078125,421.7900085449219,24.31999969482422,,1126.0999755859375
2011-03-16,2616.820068359375,412.44000244140625,29.399999618530273,,1136.199951171875
2011-03-17,2636.050048828125,417.9700012207031,26.3700008392334,,1138.5999755859375
2011-03-18,2643.669921875,419.20001220703125,24.440000534057617,,1131.800048828125
2011-03-21,2692.090087890625,426.7900085449219,20.610000610351562,,1124.5999755859375
2011-03-22,2683.8701171875,422.9100036621094,20.209999084472656,,1118.300048828125
2011-03-23,2698.300048828125,426.94000244140625,19.170000076293945,,1123.5
2011-03-24,2736.419921875,437.4100036621094,18.0,,1124.9000244140625
2011-03-25,2743.06005859375,436.2699890136719,17.90999984741211,,1119.0999755859375
2011-03-27,,,,,1113.4000244140625
2011-03-28,2730.679931640625,436.75,19.440000534057617,,1112.9000244140625
2011-03-29,2756.889892578125,441.0400085449219,18.15999984741211,,1109.5999755859375
2011-03-30,2776.7900390625,441.3800048828125,17.709999084472656,,1098.300048828125
2011-03-31,2781.070068359375,437.3599853515625,17.739999771118164,,1099.199951171875
2011-04-01,2789.60009765625,432.8500061035156,17.399999618530273,0.1,
2011-04-03,,,,,1085.199951171875
2011-04-04,2789.18994140625,429.04998779296875,17.5,,1086.5
2011-04-05,2791.18994140625,438.7799987792969,17.25,,1087.199951171875
2011-04-06,2799.820068359375,445.5,16.899999618530273,,1083.300048828125
2011-04-07,2796.139892578125,443.25,17.110000610351562,,1087.699951171875
2011-04-08,2780.419921875,439.5799865722656,17.8700008392334,,
2011-04-10,,,,,1079.5999755859375
2011-04-11,2771.510009765625,435.8800048828125,16.59000015258789,,1087.0
2011-04-12,2744.7900390625,426.7799987792969,17.09000015258789,,1090.0
2011-04-13,2761.52001953125,427.8900146484375,16.920000076293945,,1088.300048828125
2011-04-14,2760.219970703125,428.4100036621094,16.270000457763672,,
2011-04-15,2764.64990234375,431.2300109863281,15.319999694824219,,
2011-04-17,,,,,1089.300048828125
2011-04-18,2735.3798828125,423.44000244140625,16.959999084472656,,1090.0999755859375
2011-04-19,2744.969970703125,425.260009765625,15.829999923706055,,1084.300048828125
2011-04-20,2802.510009765625,443.4200134277344,15.069999694824219,,1076.5
2011-04-21,2820.159912109375,443.20001220703125,14.6899995803833,,1081.0
2011-04-24,,,,,1080.800048828125
2011-04-25,2825.8798828125,443.4100036621094,15.770000457763672,,1079.300048828125
2011-04-26,2847.5400390625,450.4800109863281,15.619999885559082,,1078.0999755859375
2011-04-27,2869.8798828125,450.6400146484375,15.350000381469727,,1070.0
2011-04-28,2872.530029296875,447.5400085449219,14.619999885559082,,1068.800048828125
2011-04-29,2873.5400390625,449.55999755859375,14.75,,
2011-05-01,,,,0.09,1069.5999755859375
2011-05-02,2864.080078125,445.05999755859375,15.989999771118164,,1068.0
