date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,412.07000732421875,412.7799987792969,409.6400146484375,411.82000732421875,0,411.620849609375
2011-01-03,414.760009765625,419.55999755859375,413.3999938964844,415.04998779296875,0,414.8492431640625
2011-01-04,416.80999755859375,418.3299865722656,411.2300109863281,415.5799865722656,0,415.3789978027344
2011-01-05,414.3500061035156,417.9700012207031,412.20001220703125,417.0899963378906,0,416.8882751464844
2011-01-06,418.3999938964844,424.989990234375,418.2900085449219,424.7699890136719,0,424.5645446777344
2011-01-07,425.5199890136719,427.4800109863281,418.82000732421875,425.760009765625,0,425.5541076660156
2011-01-10,424.6000061035156,430.8500061035156,423.0799865722656,430.1700134277344,0,429.96197509765625
2011-01-11,431.54998779296875,432.4100036621094,428.4700012207031,431.5199890136719,0,431.311279296875
2011-01-12,433.7300109863281,440.0199890136719,431.75,440.010009765625,0,439.7972106933594
2011-01-13,439.5199890136719,442.0,436.92999267578125,439.82000732421875,0,439.6072998046875
2011-01-14,442.010009765625,451.5899963378906,441.1000061035156,451.5899963378906,0,451.37158203125
2011-01-18,449.7300109863281,451.7300109863281,447.6000061035156,449.92999267578125,0,449.71240234375
2011-01-19,445.1400146484375,446.9200134277344,438.4599914550781,439.3299865722656,0,439.1175231933594
2011-01-20,436.04998779296875,436.04998779296875,428.8299865722656,434.7699890136719,0,434.5597229003906
2011-01-21,437.6099853515625,439.04998779296875,431.1000061035156,431.6499938964844,0,431.44122314453125
2011-01-24,434.0299987792969,442.44000244140625,432.9700012207031,442.4200134277344,0,442.2060546875
2011-01-25,440.94000244140625,441.7900085449219,435.6000061035156,439.1199951171875,0,438.9076232910156
2011-01-26,441.2099914550781,443.8399963378906,437.8699951171875,442.94000244140625,0,442.72576904296875
2011-01-27,445.4100036621094,452.04998779296875,445.3800048828125,451.2799987792969,0,451.0617370605469
2011-01-28,451.2799987792969,451.2799987792969,435.4599914550781,438.6099853515625,0,438.3978576660156
2011-01-31,439.9800109863281,442.75,436.3999938964844,440.510009765625,0,440.2969665527344
2011-02-01,445.05999755859375,453.5899963378906,445.010009765625,451.8299865722656,0,451.6114807128906
2011-02-02,449.0299987792969,455.8399963378906,448.510009765625,453.9100036621094,0,453.69049072265625
2011-02-03,454.2799987792969,454.8999938964844,449.19000244140625,453.6600036621094,0,453.44061279296875
2011-02-04,454.69000244140625,463.1499938964844,454.489990234375,463.1099853515625,0,462.8860168457031
2011-02-07,463.9700012207031,466.3399963378906,459.4100036621094,461.25,0,461.02691650390625
2011-02-08,462.1499938964844,462.1499938964844,457.239990234375,460.8999938964844,0,460.6770935058594
2011-02-09,460.3999938964844,460.95001220703125,455.9800109863281,457.6000061035156,0,457.3786926269531
2011-02-10,453.7900085449219,459.55999755859375,451.3800048828125,459.25,0,459.02789306640625
2011-02-11,457.3599853515625,464.3399963378906,455.5299987792969,462.82000732421875,0,462.5961608886719
2011-02-14,464.0199890136719,469.739990234375,463.7699890136719,466.3999938964844,0,466.1744384765625
