name,ticker,recipe,selected_params,selected_by,validation_f1_macro,validation_balanced_accuracy,validation_accuracy,validation_log_loss,validation_passed_prediction_balance,feature_count
sk_hynix,000660,technical_semi_etf,depth3_regularized,validation_f1_macro_with_prediction_balance,0.40134492373298347,0.5481927710843374,0.4863013698630137,1.2660896069439926,False,43
sk_hynix,000660,technical_monthly_industry,depth3_conservative,validation_f1_macro_with_prediction_balance,0.41724120055984654,0.5246701090074584,0.4726027397260274,1.0962614919236109,True,46
sk_hynix,000660,technical_domestic_alpha,depth3_conservative,validation_f1_macro_with_prediction_balance,0.38813668600902645,0.5243832472748136,0.4657534246575342,1.1117754997100482,False,43
sk_hynix,000660,technical_rates_dollar,depth4_slow,validation_f1_macro_with_prediction_balance,0.40134492373298347,0.5481927710843374,0.4863013698630137,1.6769526783997093,False,49
sk_hynix,000660,technical_rates_semi_etf,depth3_regularized,validation_f1_macro_with_prediction_balance,0.38965896589658966,0.5421686746987951,0.4794520547945205,1.4682989321631201,False,52
sk_hynix,000660,technical_dollar_semi_etf,depth4_slow,validation_f1_macro_with_prediction_balance,0.38965896589658966,0.5421686746987951,0.4794520547945205,1.3549589432402926,False,46
sk_hynix,000660,technical_alpha_semi_etf,depth3_conservative,validation_f1_macro_with_prediction_balance,0.39695652173913043,0.5402562631478294,0.4794520547945205,1.1263602874973686,False,49
sk_hynix,000660,technical_alpha_rates,depth3_conservative,validation_f1_macro_with_prediction_balance,0.40134492373298347,0.5481927710843374,0.4863013698630137,1.2592200685941282,False,52
sk_hynix,000660,technical_daily_extended,depth3_conservative,validation_f1_macro_with_prediction_balance,0.38108695652173913,0.5262956588257793,0.4657534246575342,1.337739412688566,False,55
sk_hynix,000660,technical_all_guarded,depth4_slow,validation_f1_macro_with_prediction_balance,0.40134492373298347,0.5481927710843374,0.4863013698630137,1.5682724893062836,False,70
