name,ticker,recipe,params,accuracy_recent_regime,accuracy_test,balanced_accuracy_recent_regime,balanced_accuracy_test,f1_macro_recent_regime,f1_macro_test,long_short_spread_pred_up_minus_down_recent_regime,long_short_spread_pred_up_minus_down_test,passed_prediction_balance_recent_regime,passed_prediction_balance_test,roc_auc_recent_regime,roc_auc_test
nvidia,NVDA,technical_all_guarded,depth2_fast,0.5025906735751295,0.43010752688172044,0.5100429645542427,0.5092592592592593,0.3603976801988401,0.3158917418459403,0.06623851231705058,0.14635721943804159,0.0,0.0,0.46863587540279267,0.46949192782526117
nvidia,NVDA,technical_alpha_rates,depth2_fast,0.5284974093264249,0.42473118279569894,0.5355531686358754,0.5046296296296297,0.4116839178642013,0.3057522586946663,0.0737622980406587,0.12423414927742785,0.0,0.0,0.5204081632653061,0.5244539411206078
nvidia,NVDA,technical_alpha_semi_etf,depth2_fast,0.5025906735751295,0.42473118279569894,0.5098818474758324,0.5046296296296297,0.3682487725040916,0.3057522586946663,0.05468341564714449,0.16689804938851427,0.0,0.0,0.4817400644468314,0.5711063627730294
nvidia,NVDA,technical_core,baseline_depth3,0.5284974093264249,0.44086021505376344,0.534264232008593,0.5185185185185185,0.45707749853163937,0.3357142857142857,0.024721681997917567,0.07712375932384229,1.0,0.0,0.5083780880773362,0.5924738841405509
nvidia,NVDA,technical_daily_extended,depth2_fast,0.49740932642487046,0.42473118279569894,0.504779806659506,0.5046296296296297,0.3577481217194415,0.3057522586946663,0.039778019594399965,0.16689804938851427,0.0,0.0,0.49581095596133185,0.4610636277302944
nvidia,NVDA,technical_dollar,depth4_slow,0.5129533678756477,0.41935483870967744,0.5197636949516649,0.4964387464387464,0.402437417654809,0.3101648351648352,0.03989977789634697,0.01936940100971028,0.0,0.0,0.47690655209452204,0.5352564102564102
nvidia,NVDA,technical_dollar_semi_etf,depth4_slow,0.5284974093264249,0.41935483870967744,0.5355531686358754,0.4964387464387464,0.4116839178642013,0.3101648351648352,0.07851260907722411,0.01936940100971028,0.0,0.0,0.4677765843179377,0.5655270655270654
nvidia,NVDA,technical_domestic_alpha,baseline_depth3,0.5284974093264249,0.44086021505376344,0.534264232008593,0.5185185185185185,0.45707749853163937,0.3357142857142857,0.024721681997917567,0.07712375932384229,1.0,0.0,0.5083780880773362,0.5924738841405509
nvidia,NVDA,technical_monthly_industry,baseline_depth3,0.49222797927461137,0.42473118279569894,0.5,0.5046296296296297,0.3298611111111111,0.3057522586946663,,0.16689804938851427,0.0,0.0,0.5344790547798065,0.5283713200379867
nvidia,NVDA,technical_only,baseline_depth3,0.5233160621761658,0.46774193548387094,0.5227175080558539,0.47756410256410253,0.5222772277227723,0.46760343481654953,0.007931226741421611,-0.0008649881898861803,1.0,1.0,0.5178302900107411,0.47602089268755937
nvidia,NVDA,technical_rates,depth2_fast,0.5284974093264249,0.42473118279569894,0.5355531686358754,0.5046296296296297,0.4116839178642013,0.3057522586946663,0.0737622980406587,0.12423414927742785,0.0,0.0,0.5204081632653061,0.5244539411206078
nvidia,NVDA,technical_rates_dollar,baseline_depth3,0.48186528497409326,0.43548387096774194,0.4878625134264232,0.5032051282051282,0.39536340852130325,0.36232735821334117,-0.018260292604175228,0.01814536970295858,1.0,0.0,0.5060150375939849,0.5339506172839507
nvidia,NVDA,technical_rates_semi_etf,baseline_depth3,0.5129533678756477,0.41935483870967744,0.5200859291084855,0.4964387464387464,0.3887466307277628,0.3101648351648352,0.061462628116571424,0.030013516895057494,0.0,0.0,0.5472610096670247,0.5489078822412157
nvidia,NVDA,technical_semi_etf,depth2_fast,0.5025906735751295,0.42473118279569894,0.5098818474758324,0.5046296296296297,0.3682487725040916,0.3057522586946663,0.05468341564714449,0.16689804938851427,0.0,0.0,0.4817400644468314,0.5711063627730294
samsung_electronics,005930,technical_all_guarded,depth3_conservative,0.3545816733067729,0.5738636363636364,0.5296992481203008,0.506578947368421,0.31683467741935484,0.37662337662337664,0.026853887534528664,0.04025013579180977,0.0,0.0,0.6145112781954887,0.39223684210526316
samsung_electronics,005930,technical_alpha_rates,depth3_conservative,0.30278884462151395,0.5397727272727273,0.5,0.4892105263157895,0.2324159021406728,0.43083003952569165,,-0.0037086959827890963,0.0,1.0,0.5577443609022557,0.3852631578947368
