name,ticker,recipe,params,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,pred_down_share,pred_up_share,min_predicted_class_share,passed_prediction_balance,roc_auc,cm_down_down,cm_down_up,cm_up_down,cm_up_up,precision_down,recall_down,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
nvidia,NVDA,technical_only,baseline_depth3,validation,161,0.39751552795031053,0.4043956043956044,0.39751552795031053,0.39751552795031053,0.901796261145784,0.5652173913043478,0.43478260869565216,0.43478260869565216,True,0.3965463108320251,32,38,59,32,0.3516483516483517,0.45714285714285713,0.45714285714285713,0.3516483516483517,0.04144753392857678,0.013913316021240761,-0.02753421790733602
nvidia,NVDA,technical_only,shallow_regularized,validation,161,0.37888198757763975,0.3912087912087912,0.3777056277056277,0.37417654808959155,0.8427201078701967,0.6086956521739131,0.391304347826087,0.391304347826087,True,0.3945054945054945,34,36,64,27,0.3469387755102041,0.4857142857142857,0.42857142857142855,0.2967032967032967,0.04420860813826307,0.006558954149802535,-0.037649653988460534
nvidia,NVDA,technical_only,depth3_regularized,validation,161,0.39751552795031053,0.40934065934065933,0.3966776125169017,0.3937449084999706,0.9117398056884252,0.6024844720496895,0.39751552795031053,0.39751552795031053,True,0.3832025117739403,35,35,62,29,0.36082474226804123,0.5,0.453125,0.31868131868131866,0.04225212945385354,0.010112517999430429,-0.03213961145442311
nvidia,NVDA,technical_only,depth4_slow,validation,161,0.39751552795031053,0.40274725274725276,0.39742254118918086,0.39839890218104285,0.9318425275387614,0.5527950310559007,0.4472049689440994,0.4472049689440994,True,0.38728414442700154,31,39,58,33,0.34831460674157305,0.44285714285714284,0.4583333333333333,0.3626373626373626,0.04436480560519846,0.011072083473953843,-0.033292722131244616
nvidia,NVDA,technical_only,depth2_fast,validation,161,0.36645962732919257,0.3769230769230769,0.3658480074142725,0.36327920377160816,0.8782775068927587,0.5962732919254659,0.40372670807453415,0.40372670807453415,True,0.38477237048665613,32,38,64,27,0.3333333333333333,0.45714285714285713,0.4153846153846154,0.2967032967032967,0.0460205524089752,0.005041302734241859,-0.04097924967473334
nvidia,NVDA,technical_only,depth3_conservative,validation,161,0.36024844720496896,0.3664835164835165,0.36024844720496896,0.36024844720496896,0.8831729999245316,0.5652173913043478,0.43478260869565216,0.43478260869565216,True,0.38775510204081637,29,41,62,29,0.31868131868131866,0.4142857142857143,0.4142857142857143,0.31868131868131866,0.047943604842961396,0.0054684238325407595,-0.04247518101042064
nvidia,NVDA,technical_only,baseline_depth3_unweighted,validation,161,0.39751552795031053,0.4043956043956044,0.39751552795031053,0.39751552795031053,0.901796261145784,0.5652173913043478,0.43478260869565216,0.43478260869565216,True,0.3965463108320251,32,38,59,32,0.3516483516483517,0.45714285714285713,0.45714285714285713,0.3516483516483517,0.04144753392857678,0.013913316021240761,-0.02753421790733602
nvidia,NVDA,technical_only,depth2_fast_unweighted,validation,161,0.36645962732919257,0.3769230769230769,0.3658480074142725,0.36327920377160816,0.8782775068927587,0.5962732919254659,0.40372670807453415,0.40372670807453415,True,0.38477237048665613,32,38,64,27,0.3333333333333333,0.45714285714285713,0.4153846153846154,0.2967032967032967,0.0460205524089752,0.005041302734241859,-0.04097924967473334
nvidia,NVDA,technical_only,depth3_regularized_unweighted,validation,161,0.39751552795031053,0.40934065934065933,0.3966776125169017,0.3937449084999706,0.9117398056884252,0.6024844720496895,0.39751552795031053,0.39751552795031053,True,0.3832025117739403,35,35,62,29,0.36082474226804123,0.5,0.453125,0.31868131868131866,0.04225212945385354,0.010112517999430429,-0.03213961145442311
nvidia,NVDA,technical_only,depth4_slow_unweighted,validation,161,0.39751552795031053,0.40274725274725276,0.39742254118918086,0.39839890218104285,0.9318425275387614,0.5527950310559007,0.4472049689440994,0.4472049689440994,True,0.38728414442700154,31,39,58,33,0.34831460674157305,0.44285714285714284,0.4583333333333333,0.3626373626373626,0.04436480560519846,0.011072083473953843,-0.033292722131244616
