name,ticker,lag_days,model,split,rows,accuracy,tn,fp,fn,tp
samsung_electronics,005930,3,ann,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,3,ann,recent_regime,218,0.39908256880733944,86,2,129,1
samsung_electronics,005930,3,logistic_regression,validation,110,0.5,55,0,55,0
samsung_electronics,005930,3,logistic_regression,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,3,logistic_regression,recent_regime,218,0.4036697247706422,88,0,130,0
samsung_electronics,005930,5,svm,validation,110,0.5,55,0,55,0
samsung_electronics,005930,5,svm,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,5,svm,recent_regime,218,0.4036697247706422,88,0,130,0
samsung_electronics,005930,5,decision_tree,validation,110,0.5,55,0,55,0
samsung_electronics,005930,5,decision_tree,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,5,decision_tree,recent_regime,218,0.4036697247706422,88,0,130,0
samsung_electronics,005930,5,random_forest,validation,110,0.5,55,0,55,0
samsung_electronics,005930,5,random_forest,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,5,random_forest,recent_regime,218,0.4036697247706422,88,0,130,0
samsung_electronics,005930,5,ann,validation,110,0.5,30,25,30,25
samsung_electronics,005930,5,ann,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,5,ann,recent_regime,218,0.4036697247706422,87,1,129,1
samsung_electronics,005930,5,logistic_regression,validation,110,0.5,55,0,55,0
samsung_electronics,005930,5,logistic_regression,test,138,0.5507246376811594,76,0,62,0
samsung_electronics,005930,5,logistic_regression,recent_regime,218,0.4036697247706422,88,0,130,0
sk_hynix,000660,1,svm,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,1,svm,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,1,svm,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,1,decision_tree,validation,146,0.5,73,1,72,0
sk_hynix,000660,1,decision_tree,test,177,0.4576271186440678,80,1,95,1
sk_hynix,000660,1,decision_tree,recent_regime,245,0.39591836734693875,93,8,140,4
sk_hynix,000660,1,random_forest,validation,146,0.5,70,4,69,3
sk_hynix,000660,1,random_forest,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,1,random_forest,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,1,ann,validation,146,0.5,65,9,64,8
sk_hynix,000660,1,ann,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,1,ann,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,1,logistic_regression,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,1,logistic_regression,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,1,logistic_regression,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,3,svm,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,3,svm,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,3,svm,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,3,decision_tree,validation,146,0.5136986301369864,74,0,71,1
sk_hynix,000660,3,decision_tree,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,3,decision_tree,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,3,random_forest,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,3,random_forest,test,177,0.4745762711864407,80,1,92,4
sk_hynix,000660,3,random_forest,recent_regime,245,0.43673469387755104,94,7,131,13
sk_hynix,000660,3,ann,validation,146,0.5,66,8,65,7
sk_hynix,000660,3,ann,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,3,ann,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,3,logistic_regression,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,3,logistic_regression,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,3,logistic_regression,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,5,svm,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,5,svm,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,5,svm,recent_regime,245,0.5224489795918368,55,46,71,73
sk_hynix,000660,5,decision_tree,validation,146,0.4931506849315068,63,11,63,9
sk_hynix,000660,5,decision_tree,test,177,0.5254237288135594,7,74,10,86
sk_hynix,000660,5,decision_tree,recent_regime,245,0.5877551020408164,0,101,0,144
sk_hynix,000660,5,random_forest,validation,146,0.4931506849315068,72,2,72,0
sk_hynix,000660,5,random_forest,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,5,random_forest,recent_regime,245,0.40816326530612246,97,4,141,3
sk_hynix,000660,5,ann,validation,146,0.5136986301369864,68,6,65,7
sk_hynix,000660,5,ann,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,5,ann,recent_regime,245,0.4122448979591837,101,0,144,0
sk_hynix,000660,5,logistic_regression,validation,146,0.5068493150684932,74,0,72,0
sk_hynix,000660,5,logistic_regression,test,177,0.4576271186440678,81,0,96,0
sk_hynix,000660,5,logistic_regression,recent_regime,245,0.4122448979591837,101,0,144,0
