name,ticker,lag_days,model,split,class_id,class_name,feature,mean_abs_shap
nvidia,NVDA,1,logistic_regression,test,0,down,usd_krw_t_minus_1,0.06382434098666173
nvidia,NVDA,1,logistic_regression,test,0,down,vix_t_minus_1,0.011996651524549271
nvidia,NVDA,1,logistic_regression,test,1,neutral,sox_t_minus_1,0.215892056202411
nvidia,NVDA,1,logistic_regression,test,1,neutral,us_rate_t_minus_1,0.16957270714611253
nvidia,NVDA,1,logistic_regression,test,1,neutral,nasdaq_t_minus_1,0.05318633622727949
nvidia,NVDA,1,logistic_regression,test,1,neutral,vix_t_minus_1,0.022431303524953292
nvidia,NVDA,1,logistic_regression,test,1,neutral,usd_krw_t_minus_1,0.0027572823122618247
nvidia,NVDA,1,logistic_regression,test,2,up,sox_t_minus_1,0.20573779541949982
nvidia,NVDA,1,logistic_regression,test,2,up,us_rate_t_minus_1,0.1810453374476906
nvidia,NVDA,1,logistic_regression,test,2,up,usd_krw_t_minus_1,0.06110500849793612
nvidia,NVDA,1,logistic_regression,test,2,up,nasdaq_t_minus_1,0.02244515158576244
nvidia,NVDA,1,logistic_regression,test,2,up,vix_t_minus_1,0.010453967911264087
nvidia,NVDA,3,svm,test,0,down,us_rate_t_minus_3,0.07766637314800061
nvidia,NVDA,3,svm,test,0,down,sox_t_minus_3,0.040469547438452005
nvidia,NVDA,3,svm,test,0,down,usd_krw_t_minus_3,0.01915157961290643
nvidia,NVDA,3,svm,test,0,down,vix_t_minus_3,0.01327076282080875
nvidia,NVDA,3,svm,test,0,down,nasdaq_t_minus_3,0.010077230017689998
nvidia,NVDA,3,svm,test,1,neutral,us_rate_t_minus_3,0.03625539043684599
nvidia,NVDA,3,svm,test,1,neutral,sox_t_minus_3,0.034178985273446094
nvidia,NVDA,3,svm,test,1,neutral,usd_krw_t_minus_3,0.033391102000606895
nvidia,NVDA,3,svm,test,1,neutral,vix_t_minus_3,0.00843664565379377
nvidia,NVDA,3,svm,test,1,neutral,nasdaq_t_minus_3,0.005453486093626353
nvidia,NVDA,3,svm,test,2,up,us_rate_t_minus_3,0.04141098271115455
nvidia,NVDA,3,svm,test,2,up,usd_krw_t_minus_3,0.014689493465799428
nvidia,NVDA,3,svm,test,2,up,sox_t_minus_3,0.007584658881189761
nvidia,NVDA,3,svm,test,2,up,nasdaq_t_minus_3,0.007162659123289662
nvidia,NVDA,3,svm,test,2,up,vix_t_minus_3,0.005277598729658377
nvidia,NVDA,3,decision_tree,test,0,down,nasdaq_t_minus_3,0.10926766462823365
nvidia,NVDA,3,decision_tree,test,0,down,usd_krw_t_minus_3,0.10077997271798331
nvidia,NVDA,3,decision_tree,test,0,down,vix_t_minus_3,0.08159891081612862
nvidia,NVDA,3,decision_tree,test,0,down,us_rate_t_minus_3,0.06002200922308939
