name,ticker,recipe,params,split,class_label,class_name,feature,mean_abs_shap,mean_shap
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,us_10y_2y_spread_t_minus_1,0.0034985544625669718,0.0034985544625669718
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,us_10y_2y_spread_t_minus_3,0.02342361956834793,0.02306107059121132
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,us_10y_2y_spread_t_minus_5,0.007694134954363108,0.007694134954363108
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,broad_dollar_index_t_minus_1,0.06550268083810806,0.0591338686645031
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,broad_dollar_index_t_minus_3,0.3975415825843811,-0.3975415825843811
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,broad_dollar_index_t_minus_5,0.06983292102813721,-0.06872081011533737
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,smh_t_minus_1,0.0017501602414995432,-0.0017501602414995432
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,smh_t_minus_3,0.018976839259266853,0.018976839259266853
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,smh_t_minus_5,0.0030172253027558327,0.0020530889742076397
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,soxx_t_minus_1,0.06116936728358269,0.06116936728358269
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,soxx_t_minus_3,0.28972306847572327,0.28972306847572327
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,soxx_t_minus_5,0.24094444513320923,0.24094444513320923
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,semiconductor_electronic_component_industrial_production_t_minus_1,0.016025159507989883,-0.01599649153649807
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,semiconductor_electronic_component_industrial_production_t_minus_3,0.002295954152941704,0.0017510291654616594
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,semiconductor_electronic_component_industrial_production_t_minus_5,0.042915794998407364,-0.042915794998407364
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,semiconductor_related_device_ppi_t_minus_1,0.056589726358652115,0.056589726358652115
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,semiconductor_related_device_ppi_t_minus_3,0.0046358960680663586,0.001337052439339459
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,semiconductor_related_device_ppi_t_minus_5,0.03377262130379677,0.03377262130379677
nvidia,NVDA,technical_all_guarded,depth2_fast,test,0,down,computers_electronic_products_new_orders_t_minus_1,0.22897639870643616,0.22897639870643616
