ticker,feature_set,feature,coefficient,abs_coefficient
005930,proposed,usd_krw_lag5,-0.9255628099836865,0.9255628099836865
005930,proposed,nasdaq_lag1,0.9107521560868254,0.9107521560868254
005930,proposed,sox_lag5,-0.8775507888242935,0.8775507888242935
005930,proposed,usd_krw_lag1,0.7906250854956514,0.7906250854956514
005930,proposed,foreign_net_buy_to_trading_value,0.783691477249465,0.783691477249465
005930,proposed,kospi200_return_3d,-0.7835173508308018,0.7835173508308018
005930,proposed,nasdaq_lag3,0.7773338907867506,0.7773338907867506
005930,proposed,sox,-0.7762704705269091,0.7762704705269091
005930,proposed,foreign_net_buy_to_volume,-0.7498302340863954,0.7498302340863954
005930,proposed,us_rate_lag1,0.7066553230098798,0.7066553230098798
005930,proposed,us_rate_lag3,0.6576707262097048,0.6576707262097048
005930,proposed,nasdaq_lag5,0.6490581207949669,0.6490581207949669
005930,proposed,kospi_return_3d,0.6445624966300131,0.6445624966300131
005930,proposed,usd_krw_lag3,-0.5972981006555529,0.5972981006555529
005930,proposed,open,0.5650836447865399,0.5650836447865399
005930,proposed,close,-0.5501044670395341,0.5501044670395341
005930,proposed,institution_net_buy_to_volume,0.5269403181004293,0.5269403181004293
005930,proposed,institution_net_buy_to_trading_value,-0.5201374350936064,0.5201374350936064
005930,proposed,us_rate,-0.5063032635162134,0.5063032635162134
005930,proposed,us_rate_lag5,-0.4807635339308575,0.4807635339308575
005930,proposed,kospi200_lag5,-0.4503744221199659,0.4503744221199659
005930,proposed,kospi_lag5,-0.4427431106050598,0.4427431106050598
005930,proposed,usd_krw,0.4357855713511267,0.4357855713511267
005930,proposed,kospi_lag3,0.4223423022465067,0.4223423022465067
005930,proposed,kospi200_lag3,0.4135454298987316,0.4135454298987316
005930,proposed,kospi200,-0.3705848658141841,0.3705848658141841
005930,proposed,institution_net_buy_20d_sum,0.3447105758570074,0.3447105758570074
005930,proposed,volume,-0.3053671436995851,0.3053671436995851
005930,proposed,kospi200_lag1,-0.3034131704700496,0.3034131704700496
005930,proposed,trading_value,0.2987191711056221,0.2987191711056221
005930,proposed,nasdaq,0.2610066166095552,0.2610066166095552
005930,proposed,vix_change_3d,-0.2446167105928882,0.2446167105928882
005930,proposed,vix_lag5,0.2263398026653163,0.2263398026653163
005930,proposed,sox_lag3,-0.2143393727667564,0.2143393727667564
005930,proposed,vix_lag3,-0.2090038644773005,0.2090038644773005
005930,proposed,foreign_net_buy_5d_sum,-0.1959071097075993,0.1959071097075993
005930,proposed,nasdaq_return_1d,-0.1510272759542199,0.1510272759542199
005930,proposed,vix_lag1,0.1446871042095827,0.1446871042095827
005930,proposed,high,0.1353771331762159,0.1353771331762159
005930,proposed,foreign_net_buy,0.1255158754216224,0.1255158754216224
005930,proposed,usd_krw_return_3d,-0.1221588630311805,0.1221588630311805
005930,proposed,sox_lag1,-0.1192849788197618,0.1192849788197618
005930,proposed,usd_krw_return_1d,0.1033402016658539,0.1033402016658539
005930,proposed,kospi,-0.0997597770662945,0.0997597770662945
005930,proposed,samsung_vs_kospi_return_1d,-0.0813360468164937,0.0813360468164937
005930,proposed,kospi200_return_1d,-0.0796336707426903,0.0796336707426903
005930,proposed,sox_return_1d,0.0769185153928269,0.0769185153928269
005930,proposed,institution_net_buy_5d_sum,-0.0743625572680732,0.0743625572680732
005930,proposed,foreign_net_buy_20d_to_trading_value_20d,-0.0707056804257885,0.0707056804257885
005930,proposed,institution_net_buy_20d_to_trading_value_20d,-0.069779611013034,0.069779611013034
005930,proposed,foreign_net_buy_20d_sum,-0.0689663874431026,0.0689663874431026
005930,proposed,institution_net_buy,0.0688864741533134,0.0688864741533134
005930,proposed,sox_return_3d,-0.0679375687020937,0.0679375687020937
005930,proposed,kospi_lag1,-0.0599958492001663,0.0599958492001663
005930,proposed,foreign_net_buy_5d_to_trading_value_5d,-0.0595599093057245,0.0595599093057245
005930,proposed,samsung_vs_kospi200_return_1d,0.0523705127941658,0.0523705127941658
005930,proposed,nasdaq_return_3d,0.0419084250774708,0.0419084250774708
005930,proposed,institution_net_buy_5d_to_trading_value_5d,0.0339612975117089,0.0339612975117089
005930,proposed,return_pct,-0.0314629773883082,0.0314629773883082
005930,proposed,vix,0.0275504846334557,0.0275504846334557
