ticker,model,accuracy,precision,recall,f1,auc,threshold
005930,xgboost_tuned_train_val,0.5310077519379846,0.4761904761904761,0.3418803418803419,0.3980099502487562,0.5070618900406134,
005930,logistic_regression_proposed,0.4549019607843137,0.4425531914893617,0.9285714285714286,0.5994236311239193,0.4724025974025974,0.22
005930,xgboost_tuned_train_val_baseline,0.4392156862745098,0.4392156862745098,1.0,0.6103542234332425,0.5529158341658341,0.1
005930,xgboost_tuned_train_val_proposed,0.4509803921568627,0.4396551724137931,0.9107142857142856,0.5930232558139535,0.4948801198801199,0.18
005930,xgboost_tuned_train_val_proposed_plus,0.4509803921568627,0.4444444444444444,1.0,0.6153846153846154,0.5364635364635365,0.1
000660,logistic_regression_proposed,0.5803921568627451,0.6103896103896104,0.6666666666666666,0.6372881355932203,0.5842354112230932,0.19
000660,xgboost_tuned_train_val_baseline,0.4666666666666667,0.5925925925925926,0.1134751773049645,0.1904761904761904,0.5546845837999254,0.42
000660,xgboost_tuned_train_val_proposed,0.4901960784313725,0.6,0.2340425531914893,0.336734693877551,0.5181037700634565,0.26
000660,xgboost_tuned_train_val_proposed_plus,0.5529411764705883,0.572972972972973,0.75177304964539,0.6503067484662577,0.5617145701132263,0.1
000660,logistic_regression_macro_alpha,0.5647058823529412,0.575,0.8156028368794326,0.6744868035190615,0.5286176433992782,0.31
005930,logistic_regression_macro_alpha,0.4705882352941176,0.4518828451882845,0.9642857142857144,0.6153846153846154,0.4749625374625374,0.22
005930,xgboost_tuned_train_val_macro_alpha,0.4392156862745098,0.4351464435146444,0.9285714285714286,0.5925925925925926,0.4749000999000998,0.18
000660,xgboost_tuned_train_val_macro_alpha,0.5450980392156862,0.5531914893617021,0.9219858156028369,0.6914893617021277,0.5417444320019908,0.13
