ticker,feature_set,feature,pearson_corr_train,abs_pearson_corr_train
005930,proposed,institution_net_buy_20d_sum,0.1512674306430703,0.1512674306430703
005930,proposed,kospi,-0.109844135769227,0.109844135769227
005930,proposed,kospi200,-0.1087513343494135,0.1087513343494135
005930,proposed,kospi_lag5,-0.1075785390296669,0.1075785390296669
005930,proposed,kospi_lag1,-0.1075534297006912,0.1075534297006912
005930,proposed,kospi200_lag1,-0.1060659966188703,0.1060659966188703
005930,proposed,kospi_lag3,-0.1052953213236827,0.1052953213236827
005930,proposed,kospi200_lag5,-0.1052804531543104,0.1052804531543104
005930,proposed,kospi200_lag3,-0.102919965387065,0.102919965387065
005930,proposed,close,-0.0970622948355985,0.0970622948355985
005930,proposed,low,-0.0952723517987556,0.0952723517987556
005930,proposed,high,-0.0945917496601707,0.0945917496601707
005930,proposed,open,-0.0939297010920055,0.0939297010920055
005930,proposed,institution_net_buy_5d_sum,0.0898188512405678,0.0898188512405678
005930,proposed,sox_lag5,-0.0665565284604002,0.0665565284604002
005930,proposed,sox,-0.0663152487218649,0.0663152487218649
005930,proposed,sox_lag1,-0.064821337200678,0.064821337200678
005930,proposed,sox_lag3,-0.064437301973657,0.064437301973657
005930,proposed,vix_lag5,0.0629868617896994,0.0629868617896994
005930,proposed,vix_lag1,0.0584993379699319,0.0584993379699319
005930,proposed,vix_lag3,0.0575179641977106,0.0575179641977106
005930,proposed,foreign_net_buy_5d_sum,-0.0552361353027599,0.0552361353027599
005930,proposed,vix,0.0538933298298785,0.0538933298298785
005930,proposed,nasdaq,-0.0475446344099178,0.0475446344099178
005930,proposed,institution_net_buy,0.0467216890971767,0.0467216890971767
005930,proposed,nasdaq_lag5,-0.0465426122059787,0.0465426122059787
005930,proposed,nasdaq_lag1,-0.0462893836096778,0.0462893836096778
005930,proposed,nasdaq_lag3,-0.0453676196446182,0.0453676196446182
005930,proposed,foreign_net_buy_20d_sum,-0.0435173379896548,0.0435173379896548
005930,proposed,return_pct,-0.0411851193087523,0.0411851193087523
005930,proposed,kospi200_return_3d,-0.0396509591232986,0.0396509591232986
005930,proposed,usd_krw,0.0392686890274821,0.0392686890274821
005930,proposed,foreign_net_buy_20d_to_trading_value_20d,-0.0381436334117333,0.0381436334117333
005930,proposed,usd_krw_lag1,0.0374497237527588,0.0374497237527588
005930,proposed,kospi200_return_1d,-0.036739486553876,0.036739486553876
005930,proposed,trading_value,-0.0365643883677994,0.0365643883677994
005930,proposed,foreign_net_buy_5d_to_trading_value_5d,-0.0357338596833091,0.0357338596833091
