feature_name,sample_count,mean_abs_shap,mean_shap,mean_feature_value,positive_shap_count,negative_shap_count,positive_shap_ratio,negative_shap_ratio,dominant_direction
nasdaq_lag5,239,0.4310028619246862,0.41742037656903763,17105.913855230127,219,20,0.9163179916317992,0.08368200836820083,positive
nasdaq_lag3,239,0.29299823849372386,0.2898170251046025,17130.246051046026,221,18,0.9246861924686193,0.07531380753138076,positive
foreign_net_buy_5d_sum,239,0.18113662343096235,0.01766643933054393,-199500097679.2678,145,94,0.606694560669456,0.39330543933054396,positive
us_rate_lag5,239,0.13629346025104602,0.1251304309623431,5.188577405857741,209,30,0.8744769874476988,0.12552301255230125,positive
institution_net_buy_20d_to_trading_value_20d,239,0.13610712970711297,0.037248108786610876,-0.009535225941422594,169,70,0.7071129707112971,0.2928870292887029,positive
sox_lag5,239,0.12071733891213389,-0.12071733891213389,222.3781878661088,0,239,0.0,1.0,negative
vix_lag5,239,0.11147624267782427,-0.07330350627615063,15.34297071129707,99,140,0.41422594142259417,0.5857740585774058,negative
us_rate,239,0.11134899163179916,0.11134899163179916,5.159916317991632,239,0,1.0,0.0,positive
kospi200_return_3d,239,0.0918496359832636,0.001157460251046025,-0.08696457740585774,159,80,0.6652719665271967,0.33472803347280333,positive
sox_lag1,239,0.08163366527196653,-0.08163366527196653,222.66435230125524,0,239,0.0,1.0,negative
usd_krw_lag5,239,0.07944552719665272,-0.07944552719665272,1357.152721757322,0,239,0.0,1.0,negative
return_pct,239,0.07917007949790796,0.0009939372384937238,-0.1436665271966527,127,112,0.5313807531380753,0.4686192468619247,positive
foreign_net_buy_to_trading_value,239,0.07743110041841005,-0.007063669456066945,-0.03565541841004184,134,105,0.5606694560669456,0.4393305439330544,negative
foreign_net_buy,239,0.07570045188284519,-0.021644786610878663,-42964505557.27615,137,102,0.5732217573221757,0.42677824267782427,negative
institution_net_buy_5d_sum,239,0.0720702510460251,-0.03155592468619247,-73763032265.08368,151,88,0.6317991631799164,0.3682008368200837,negative
foreign_net_buy_20d_sum,239,0.06924106276150628,-0.05102355648535565,-660145908494.4769,92,147,0.38493723849372385,0.6150627615062761,negative
kospi,239,0.06858935146443515,-0.06781184518828452,2636.5392050209207,2,237,0.008368200836820083,0.9916317991631799,negative
foreign_net_buy_20d_to_trading_value_20d,239,0.06723312552301255,0.019496765690376568,-0.021731514644351465,99,140,0.41422594142259417,0.5857740585774058,positive
institution_net_buy_5d_to_trading_value_5d,239,0.06503287447698745,0.024190305439330543,-0.009846397489539749,208,31,0.8702928870292888,0.1297071129707113,positive
institution_net_buy_20d_sum,239,0.06484003347280334,-0.01239944769874477,-261428787486.27615,172,67,0.7196652719665272,0.2803347280334728,negative
vix_lag3,239,0.06051058995815899,0.01987705857740586,15.345899581589958,202,37,0.8451882845188284,0.15481171548117154,positive
kospi_lag5,239,0.05829181589958159,-0.05829181589958159,2640.48410041841,0,239,0.0,1.0,negative
vix,239,0.04930919246861925,-0.01802829707112971,15.507196652719665,207,32,0.8661087866108786,0.13389121338912133,negative
kospi200,239,0.0460934769874477,-0.04514994560669456,356.02535564853554,9,230,0.03765690376569038,0.9623430962343096,negative
institution_net_buy_to_trading_value,239,0.04529050209205021,0.021940401673640166,-0.012002401673640167,215,24,0.899581589958159,0.100418410041841,positive
nasdaq_lag1,239,0.043495589958159,0.04280564016736402,17169.027515899583,228,11,0.9539748953974896,0.04602510460251046,positive
vix_change_3d,239,0.04183568619246862,-0.0027550669456066945,0.1192887029288703,101,138,0.4225941422594142,0.5774058577405857,negative
institution_net_buy,239,0.03770073640167364,-0.014172100418410043,-16514961054.85774,134,105,0.5606694560669456,0.4393305439330544,negative
stock_vs_kospi200_return_1d,239,0.03697570292887029,-0.004864422594142259,-0.10362779916317992,81,158,0.3389121338912134,0.6610878661087866,negative
sox_return_3d,239,0.034592217573221756,-0.004443347280334728,0.2168485439330544,127,112,0.5313807531380753,0.4686192468619247,negative
us_rate_lag1,239,0.03328383682008368,0.033221125523012554,5.189832635983263,235,4,0.9832635983263598,0.016736401673640166,positive
vix_lag1,239,0.030169979079497908,-0.006776355648535565,15.42928870292887,116,123,0.48535564853556484,0.5146443514644351,negative
nasdaq_return_3d,239,0.02847151882845188,0.009034246861924685,0.3530669790794979,190,49,0.7949790794979079,0.20502092050209206,positive
us_rate_lag3,239,0.028376096234309624,0.026902640167364017,5.196945606694561,207,32,0.8661087866108786,0.13389121338912133,positive
usd_krw_return_3d,239,0.027612828451882846,0.004949330543933054,0.1361807322175732,156,83,0.6527196652719666,0.3472803347280335,positive
kospi_lag3,239,0.02718403347280335,-0.02718179079497908,2639.3003347280332,1,238,0.0041841004184100415,0.99581589958159,negative
vix_change_1d,239,0.025515958158995815,-0.010597531380753138,0.04878661087866109,73,166,0.3054393305439331,0.694560669456067,negative
usd_krw_return_1d,239,0.025385041841004184,0.00028938493723849374,0.049499276150627616,190,49,0.7949790794979079,0.20502092050209206,positive
kospi_return_3d,239,0.024199271966527196,-0.0004404937238493724,-0.06939551464435147,99,140,0.41422594142259417,0.5857740585774058,negative
usd_krw,239,0.023241075313807532,-0.00038310041841004184,1360.1205472803347,26,213,0.1087866108786611,0.891213389121339,negative
kospi200_lag5,239,0.022753096234309624,-0.022753096234309624,356.6634728033473,0,239,0.0,1.0,negative
nasdaq,239,0.02212686610878661,0.020893677824267782,17178.17832426778,209,30,0.8744769874476988,0.12552301255230125,positive
nasdaq_return_1d,239,0.02164044351464435,0.004847824267782427,0.11130541004184101,220,19,0.9205020920502092,0.0794979079497908,positive
institution_net_buy_to_volume,239,0.021310543933054392,0.003259246861924686,-990.3577631966527,193,46,0.8075313807531381,0.19246861924686193,positive
volume,239,0.018275175732217572,0.000253418410041841,21945702.615062762,88,151,0.3682008368200837,0.6317991631799164,positive
kospi200_lag1,239,0.016592205020920504,0.009113008368200837,356.4226778242678,150,89,0.6276150627615062,0.3723849372384937,positive
foreign_net_buy_5d_to_trading_value_5d,239,0.01605308368200837,-0.0061602468619246864,-0.027715903765690376,110,129,0.4602510460251046,0.5397489539748954,negative
usd_krw_lag3,239,0.013830481171548116,-0.004953979079497908,1358.1302535564853,47,192,0.19665271966527198,0.803347280334728,negative
sox,239,0.011998200836820084,-0.008349564853556486,222.70817447698744,105,134,0.4393305439330544,0.5606694560669456,negative
sox_return_1d,239,0.011016439330543934,0.001758121338912134,0.062368163179916315,124,115,0.5188284518828452,0.4811715481171548,positive
stock_vs_kospi_return_1d,239,0.010805284518828452,0.0004542468619246862,-0.10988968619246862,127,112,0.5313807531380753,0.4686192468619247,positive
kospi200_return_1d,239,0.01036697489539749,0.0020033514644351466,-0.040038728033472804,81,158,0.3389121338912134,0.6610878661087866,positive
sox_lag3,239,0.010348414225941422,-0.010348414225941422,222.37979163179915,0,239,0.0,1.0,negative
foreign_net_buy_to_volume,239,0.007709451882845188,0.002546405857740586,-1730.2071208912134,108,131,0.45188284518828453,0.5481171548117155,positive
kospi_return_1d,239,0.0062386234309623435,0.0012427740585774058,-0.0337768410041841,170,69,0.7112970711297071,0.28870292887029286,positive
usd_krw_lag1,239,0.004403682008368201,0.003341112970711297,1359.2782050209205,212,27,0.8870292887029289,0.11297071129707113,positive
kospi_lag1,239,0.004093941422594142,-0.0025055648535564855,2639.1796234309622,25,214,0.10460251046025104,0.895397489539749,negative
kospi200_lag3,239,0.003945933054393305,-0.000333581589958159,356.46853556485354,210,29,0.8786610878661087,0.12133891213389121,negative
