날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2021-12-01,2796048.0,516339.0,516339.0,533518.0,399074.0,392438.0,6637.0,4266212.0,1217212.0,3048999.0,2962377.0,86622.0,8975.0,651054.0,-330478.0,-239910.0,471221.0,179833.0,183921.0,18.47,14.27,13.92,9.92,39.92,33143.62,5777.0,13.55,43611.0,1.8,1444.0,1.84,25.0,5969782550.0
2022-12-01,3022314.0,433766.0,433766.0,464405.0,556541.0,547300.0,9241.0,4484245.0,936749.0,3547496.0,3451861.0,95635.0,8975.0,621813.0,-316028.0,-193900.0,494304.0,127509.0,103332.0,14.35,18.41,17.07,12.72,26.41,38144.29,8057.0,6.86,50817.0,1.09,1444.0,2.61,17.92,5969782550.0
2023-12-01,2589355.0,65670.0,65670.0,110063.0,154871.0,144734.0,10137.0,4559060.0,922281.0,3636779.0,3532338.0,104441.0,8975.0,441374.0,-169228.0,-85931.0,576113.0,-134739.0,126859.0,2.54,5.98,4.15,3.43,25.36,39114.28,2131.0,36.84,52002.0,1.51,1444.0,1.84,67.78,5969782550.0
2024-12-01,3008709.0,327260.0,327260.0,375297.0,344514.0,336214.0,8300.0,5145319.0,1123399.0,4021921.0,3916876.0,105045.0,8975.0,729826.0,-853817.0,-77972.0,514064.0,215763.0,193302.0,10.88,11.45,9.03,7.1,27.93,41772.84,4950.0,10.75,57981.0,0.92,1446.0,2.72,29.18,5969782550.0
2025-12-01,3336059.0,436011.0,436011.0,494815.0,452068.0,442610.0,9458.0,5669421.0,1306218.0,4363203.0,4243133.0,120071.0,8975.0,853151.0,-685122.0,-134780.0,475222.0,377930.0,252391.0,13.07,13.55,10.85,8.36,29.94,45296.17,6564.0,18.27,63997.0,1.87,1668.0,1.39,25.1,5919637922.0
2026-12-01,6789614.0,,3480693.0,3502949.0,2840003.0,2839647.0,,8893072.0,1829253.0,7063818.0,6891579.0,,8972.0,2921010.0,-1166917.0,-70465.0,676755.0,2221137.0,,51.27,41.83,51.01,39.0,25.9,,42571.0,6.47,104950.0,2.63,4159.0,1.51,8.56,
2027-12-01,8093583.0,,4383033.0,4393275.0,3522370.0,3559154.0,,12287769.0,1974411.0,10313357.0,10120491.0,,8972.0,3715324.0,-1020617.0,-268664.0,710171.0,2802896.0,,54.15,43.52,41.84,33.26,19.14,,53532.0,5.15,154122.0,1.79,3046.0,1.11,5.0,
2028-12-01,8137393.0,,4146313.0,4397177.0,3561383.0,3508553.0,,15530129.0,2049006.0,13481123.0,13441373.0,,8969.0,3890978.0,-1045569.0,-259496.0,657166.0,2882702.0,,50.95,43.77,29.78,25.61,15.2,,52771.0,5.22,204694.0,1.35,3644.0,1.32,6.07,
