name,ticker,recipe,feature_family,params,accuracy_recent_regime,accuracy_test,balanced_accuracy_recent_regime,balanced_accuracy_test,f1_macro_recent_regime,f1_macro_test,roc_auc_ovr_weighted_recent_regime,roc_auc_ovr_weighted_test
nvidia,NVDA,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth3_regularized_unweighted,0.28152492668621704,0.3076923076923077,0.3355855855855856,0.3411552578219245,0.15130238741539412,0.17786847381209756,0.4437432250409127,0.48263368145502145
nvidia,NVDA,technical_alpha_rates,technical+domestic_alpha+rates,depth3_regularized_unweighted,0.28152492668621704,0.3076923076923077,0.3343290659080133,0.3340327506994174,0.1552529124837781,0.20366497670231062,0.43183518324625,0.4837173459512496
nvidia,NVDA,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,depth4_slow,0.2903225806451613,0.3076923076923077,0.3434914506343077,0.3428043428043428,0.1681569760443,0.18631648378005639,0.43355914886996405,0.49740711353206457
nvidia,NVDA,technical_core,technical,depth2_fast_unweighted,0.30791788856304986,0.31153846153846154,0.35887353518932463,0.34684684684684686,0.21957233743460428,0.18215109678836927,0.4335010646925571,0.4473288226292013
nvidia,NVDA,technical_daily_extended,technical+rates+dollar+semi_etf,depth3_regularized_unweighted,0.2844574780058651,0.3076923076923077,0.3378378378378379,0.3399681733015067,0.15623229816778203,0.1830139500912177,0.45389872542233317,0.4852502031945678
nvidia,NVDA,technical_dollar,technical+dollar,depth4_slow_unweighted,0.2756598240469208,0.3038461538461538,0.32479848269321954,0.3394548394548395,0.16010378510378512,0.20516486849516877,0.4762211410395267,0.4607128266361647
nvidia,NVDA,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast,0.2785923753665689,0.3038461538461538,0.3294563629150095,0.3380688380688381,0.16318103174793594,0.1720926258224387,0.4461413715789371,0.45731847274226795
nvidia,NVDA,technical_domestic_alpha,technical+domestic_alpha,depth2_fast_unweighted,0.30791788856304986,0.31153846153846154,0.35887353518932463,0.34684684684684686,0.21957233743460428,0.18215109678836927,0.4335010646925571,0.4473288226292013
nvidia,NVDA,technical_monthly_industry,technical+monthly_industry,baseline_depth3_unweighted,0.2844574780058651,0.3,0.3378378378378379,0.3335643335643336,0.15623229816778203,0.16295180722891567,0.48532235919308686,0.49315223243736367
nvidia,NVDA,technical_only,technical,depth3_regularized,0.30791788856304986,0.28846153846153844,0.29651977433932325,0.29374246040912705,0.29652374499935474,0.2870618088361233,0.5019520129909684,0.47564218273781417
