name,ticker,recipe,feature_family,params,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,roc_auc_ovr_weighted,cm_down_down,cm_down_neutral,cm_down_up,cm_neutral_down,cm_neutral_neutral,cm_neutral_up,cm_up_down,cm_up_neutral,cm_up_up,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_neutral,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
nvidia,NVDA,technical_only,technical,baseline_depth3,validation,259,0.3088803088803089,0.2967032967032967,0.285115200008817,0.2945945499136989,1.2585758712338322,0.46814427559769184,15,37,18,31,49,18,25,50,16,0.2112676056338028,0.21428571428571427,0.3602941176470588,0.5,0.3076923076923077,0.17582417582417584,0.025755613884187796,0.029107629201170385,0.0032921972314178807,-0.022463416652769914
nvidia,NVDA,technical_only,technical,shallow_regularized,validation,259,0.30115830115830117,0.2893249607535322,0.28362391033623907,0.29446164720137324,1.2020051046068925,0.4656763018564261,14,36,20,31,45,22,31,41,19,0.18421052631578946,0.2,0.36885245901639346,0.45918367346938777,0.3114754098360656,0.2087912087912088,0.03031747514550415,0.02502029861848352,0.009866817551752968,-0.020450657593751184
nvidia,NVDA,technical_only,technical,depth3_regularized,validation,259,0.3088803088803089,0.29586603872318157,0.2867099705176042,0.2970585245100608,1.245671213085592,0.46478887938515273,14,39,17,29,48,21,26,47,18,0.2028985507246377,0.2,0.3582089552238806,0.4897959183673469,0.32142857142857145,0.1978021978021978,0.02721649506609174,0.027128316899590513,0.007952639090442448,-0.019263855975649294
nvidia,NVDA,technical_only,technical,depth4_slow,validation,259,0.3127413127413127,0.29518576661433804,0.28188799937466213,0.29506689020619076,1.2741305485798176,0.4687462529077436,11,39,20,28,52,18,21,52,18,0.18333333333333332,0.15714285714285714,0.36363636363636365,0.5306122448979592,0.32142857142857145,0.1978021978021978,0.02993837016270197,0.028155588299709502,0.0024273049383867753,-0.027511065224315193
nvidia,NVDA,technical_only,technical,depth2_fast,validation,259,0.2857142857142857,0.2771323914181057,0.2671401248245277,0.27511080203105404,1.2385985920004676,0.46638874899744465,16,35,19,33,44,21,32,45,14,0.19753086419753085,0.22857142857142856,0.3548387096774194,0.4489795918367347,0.25925925925925924,0.15384615384615385,0.030127334256585897,0.028861743567195005,-0.0011238863693593057,-0.0312512206259452
nvidia,NVDA,technical_only,technical,depth3_conservative,validation,259,0.32432432432432434,0.3119309262166405,0.3003750714462065,0.3104251178399658,1.247410998965788,0.4575526058445313,16,39,15,29,51,18,29,45,17,0.21621621621621623,0.22857142857142856,0.37777777777777777,0.5204081632653061,0.34,0.18681318681318682,0.028314279272525764,0.0249478627919905,0.009905245401692249,-0.018409033870833515
nvidia,NVDA,technical_only,technical,baseline_depth3_unweighted,validation,259,0.3359073359073359,0.3156462585034014,0.2883543001907421,0.3010599008795914,1.2739085635283827,0.46113926703988817,12,42,16,20,62,16,21,57,13,0.22641509433962265,0.17142857142857143,0.38509316770186336,0.6326530612244898,0.28888888888888886,0.14285714285714285,0.03068947032974396,0.026791522901073887,0.0004111844137980044,-0.030278285915945957
nvidia,NVDA,technical_only,technical,depth2_fast_unweighted,validation,259,0.3359073359073359,0.3137624280481423,0.27939399049948,0.29248968168775913,1.2507813505533298,0.4609131092050347,11,45,14,17,65,16,20,60,11,0.22916666666666666,0.15714285714285714,0.38235294117647056,0.6632653061224489,0.2682926829268293,0.12087912087912088,0.0300561284791621,0.027087955079196178,-0.0021747833486071974,-0.0322309118277693
nvidia,NVDA,technical_only,technical,depth3_regularized_unweighted,validation,259,0.33204633204633205,0.31088435374149664,0.28224886114657716,0.29528730035184847,1.2632866088279422,0.4584973171929693,11,46,13,20,62,16,19,59,13,0.22,0.15714285714285714,0.3712574850299401,0.6326530612244898,0.30952380952380953,0.14285714285714285,0.028836270738995216,0.025603142360162187,0.005736716716033095,-0.02309955402296212
nvidia,NVDA,technical_only,technical,depth4_slow_unweighted,validation,259,0.3281853281853282,0.3047619047619048,0.2734188113846468,0.2886321820509047,1.292519099429798,0.4613525459798752,9,47,14,19,63,16,20,58,13,0.1875,0.12857142857142856,0.375,0.6428571428571429,0.3023255813953488,0.14285714285714285,0.03548635919128391,0.024688627369362632,0.0024987389287369,-0.03298762026254701
