name,ticker,recipe,feature_family,params,feature_count,technical_feature_count,core_feature_count,extended_feature_count,features
nvidia,NVDA,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,depth2_fast,43,22,15,6,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
nvidia,NVDA,technical_alpha_rates,technical+domestic_alpha+rates,depth3_regularized_unweighted,46,22,15,9,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5"
nvidia,NVDA,technical_daily_extended,technical+rates+dollar+semi_etf,depth3_regularized_unweighted,55,22,15,18,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
nvidia,NVDA,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth4_slow_unweighted,64,22,15,27,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5,semiconductor_electronic_component_industrial_production_t_minus_1,semiconductor_electronic_component_industrial_production_t_minus_3,semiconductor_electronic_component_industrial_production_t_minus_5,semiconductor_related_device_ppi_t_minus_1,semiconductor_related_device_ppi_t_minus_3,semiconductor_related_device_ppi_t_minus_5,computers_electronic_products_new_orders_t_minus_1,computers_electronic_products_new_orders_t_minus_3,computers_electronic_products_new_orders_t_minus_5"
samsung_electronics,005930,technical_only,technical,depth2_fast_unweighted,22,22,0,0,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio"
samsung_electronics,005930,technical_core,technical,depth4_slow_unweighted,37,22,15,0,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5"
samsung_electronics,005930,technical_rates,technical+rates,depth4_slow_unweighted,46,22,15,9,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5"
samsung_electronics,005930,technical_dollar,technical+dollar,depth3_regularized_unweighted,40,22,15,3,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5"
samsung_electronics,005930,technical_semi_etf,technical+semi_etf,depth4_slow_unweighted,43,22,15,6,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
samsung_electronics,005930,technical_monthly_industry,technical+monthly_industry,depth3_regularized_unweighted,46,22,15,9,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,semiconductor_electronic_component_industrial_production_t_minus_1,semiconductor_electronic_component_industrial_production_t_minus_3,semiconductor_electronic_component_industrial_production_t_minus_5,semiconductor_related_device_ppi_t_minus_1,semiconductor_related_device_ppi_t_minus_3,semiconductor_related_device_ppi_t_minus_5,computers_electronic_products_new_orders_t_minus_1,computers_electronic_products_new_orders_t_minus_3,computers_electronic_products_new_orders_t_minus_5"
