priority,part,name,symbol,source,frequency,save_dir,description,status,error_type,error_message,collected_at
1,semi_index,phlx_semiconductor_index_sox,SOX,FDR,daily,semi_indices,PHLX Semiconductor Index direct symbol trial,failed,KeyError,'timestamp',2026-05-08T16:02:18.122120+00:00
2,foundry_revenue,tsmc_monthly_revenue_page,https://investor.tsmc.com/english/monthly-revenue,external_public,source_dependent,,TSMC monthly revenue landing page availability check,failed,HTTPError,403 Client Error: Forbidden for url: https://investor.tsmc.com/english/monthly-revenue,2026-05-08T16:02:41.838780+00:00
