date,nasdaq,sox,vix,us_rate,usd_krw
2018-01-01,,,,1.41,1066.0699462890625
2018-01-02,7006.89990234375,1287.699951171875,9.770000457763672,,1065.219970703125
2018-01-03,7065.52978515625,1309.8599853515625,9.149999618530273,,1062.5400390625
2018-01-04,7077.91015625,1317.239990234375,9.220000267028809,,1063.93994140625
2018-01-05,7136.56005859375,1325.7099609375,9.220000267028809,,1061.0799560546875
2018-01-08,7157.39013671875,1335.5400390625,9.520000457763672,,1060.5
2018-01-09,7163.580078125,1322.5699462890625,10.079999923706055,,1067.68994140625
2018-01-10,7153.56982421875,1306.219970703125,9.819999694824219,,1071.739990234375
2018-01-11,7211.77978515625,1314.3399658203125,9.880000114440918,,1069.6700439453125
2018-01-12,7261.06005859375,1322.0999755859375,10.15999984741211,,1065.1400146484375
2018-01-15,,,,,1055.800048828125
2018-01-16,7223.68994140625,1325.969970703125,11.65999984741211,,1061.8199462890625
2018-01-17,7298.27978515625,1364.2900390625,11.90999984741211,,1062.4599609375
2018-01-18,7296.0498046875,1370.56005859375,12.220000267028809,,1066.56005859375
2018-01-19,7336.3798828125,1372.030029296875,11.270000457763672,,1069.68994140625
2018-01-22,7408.02978515625,1382.4100341796875,11.029999732971191,,1066.3599853515625
2018-01-23,7460.2900390625,1392.8599853515625,11.100000381469727,,1068.81005859375
2018-01-24,7415.06005859375,1360.6800537109375,11.470000267028809,,1072.760009765625
2018-01-25,7411.16015625,1337.6199951171875,11.579999923706055,,1064.4000244140625
2018-01-26,7505.77001953125,1381.27001953125,11.079999923706055,,1064.8900146484375
2018-01-29,7466.509765625,1378.4200439453125,13.84000015258789,,1063.1300048828125
2018-01-30,7402.47998046875,1350.43994140625,14.789999961853027,,1069.7900390625
2018-01-31,7411.47998046875,1361.5,13.539999961853027,,1072.5400390625
2018-02-01,7385.85986328125,1355.0699462890625,13.470000267028809,1.42,1069.02001953125
2018-02-02,7240.9501953125,1317.97998046875,17.309999465942383,,1071.1800537109375
2018-02-05,6967.52978515625,1255.81005859375,37.31999969482422,,1090.010009765625
2018-02-06,7115.8798828125,1301.6600341796875,29.979999542236328,,1093.300048828125
2018-02-07,7051.97998046875,1272.5,27.729999542236328,,1079.260009765625
2018-02-08,6777.16015625,1218.6600341796875,33.459999084472656,,1089.4200439453125
2018-02-09,6874.490234375,1255.81005859375,29.059999465942383,,1095.8599853515625
2018-02-12,6981.9599609375,1279.1400146484375,25.610000610351562,,1083.1700439453125
2018-02-13,7013.509765625,1278.510009765625,24.969999313354492,,1082.6099853515625
2018-02-14,7143.6201171875,1307.050048828125,19.260000228881836,,1083.77001953125
2018-02-15,7256.43017578125,1322.949951171875,19.1299991607666,,1070.010009765625
2018-02-16,7239.47021484375,1318.3199462890625,19.459999084472656,,1063.0699462890625
2018-02-19,,,,,1065.6300048828125
2018-02-20,7234.31005859375,1341.530029296875,20.600000381469727,,1066.7099609375
2018-02-21,7218.22998046875,1325.3499755859375,20.020000457763672,,1072.5400390625
2018-02-22,7210.08984375,1322.0899658203125,18.719999313354492,,1074.8599853515625
2018-02-23,7337.39013671875,1351.0899658203125,16.489999771118164,,1080.0799560546875
2018-02-26,7421.4599609375,1380.27001953125,15.800000190734863,,1075.0
2018-02-27,7330.35009765625,1374.719970703125,18.59000015258789,,1069.699951171875
2018-02-28,7273.009765625,1362.02001953125,19.850000381469727,,1079.3900146484375
2018-03-01,7180.56005859375,1340.1400146484375,22.469999313354492,1.51,1085.3499755859375
