date,sox
2018-01-02,1287.699951171875
2018-01-03,1309.8599853515625
2018-01-04,1317.239990234375
2018-01-05,1325.7099609375
2018-01-08,1335.5400390625
2018-01-09,1322.5699462890625
2018-01-10,1306.219970703125
2018-01-11,1314.3399658203125
2018-01-12,1322.0999755859375
2018-01-16,1325.969970703125
2018-01-17,1364.2900390625
2018-01-18,1370.56005859375
2018-01-19,1372.030029296875
2018-01-22,1382.4100341796875
2018-01-23,1392.8599853515625
2018-01-24,1360.6800537109375
2018-01-25,1337.6199951171875
2018-01-26,1381.27001953125
2018-01-29,1378.4200439453125
2018-01-30,1350.43994140625
2018-01-31,1361.5
2018-02-01,1355.0699462890625
2018-02-02,1317.97998046875
2018-02-05,1255.81005859375
2018-02-06,1301.6600341796875
2018-02-07,1272.5
2018-02-08,1218.6600341796875
2018-02-09,1255.81005859375
2018-02-12,1279.1400146484375
2018-02-13,1278.510009765625
2018-02-14,1307.050048828125
2018-02-15,1322.949951171875
2018-02-16,1318.3199462890625
2018-02-20,1341.530029296875
2018-02-21,1325.3499755859375
2018-02-22,1322.0899658203125
2018-02-23,1351.0899658203125
2018-02-26,1380.27001953125
2018-02-27,1374.719970703125
2018-02-28,1362.02001953125
2018-03-01,1340.1400146484375
2018-03-02,1363.780029296875
2018-03-05,1375.8599853515625
2018-03-06,1396.469970703125
2018-03-07,1400.469970703125
2018-03-08,1402.050048828125
2018-03-09,1431.1600341796875
2018-03-12,1445.9000244140625
2018-03-13,1423.4599609375
2018-03-14,1423.5
2018-03-15,1422.0699462890625
2018-03-16,1422.5400390625
2018-03-19,1394.8199462890625
2018-03-20,1405.5
2018-03-21,1407.97998046875
2018-03-22,1368.97998046875
2018-03-23,1323.9200439453125
2018-03-26,1380.0999755859375
2018-03-27,1327.93994140625
2018-03-28,1299.8199462890625
2018-03-29,1328.9000244140625
2018-04-02,1277.010009765625
2018-04-03,1302.0899658203125
2018-04-04,1319.010009765625
2018-04-05,1305.239990234375
2018-04-06,1265.25
2018-04-09,1273.800048828125
2018-04-10,1314.5400390625
2018-04-11,1315.06005859375
2018-04-12,1339.6600341796875
2018-04-13,1329.4000244140625
2018-04-16,1332.52001953125
2018-04-17,1357.719970703125
2018-04-18,1343.780029296875
2018-04-19,1285.8800048828125
2018-04-20,1270.8299560546875
2018-04-23,1253.97998046875
2018-04-24,1243.6700439453125
2018-04-25,1242.18994140625
2018-04-26,1268.2099609375
2018-04-27,1258.1099853515625
2018-04-30,1244.4000244140625
2018-05-01,1265.93994140625
2018-05-02,1259.4200439453125
2018-05-03,1267.43994140625
2018-05-04,1296.72998046875
2018-05-07,1308.47998046875
2018-05-08,1318.02001953125
2018-05-09,1336.6800537109375
2018-05-10,1360.719970703125
2018-05-11,1350.4599609375
2018-05-14,1367.5
2018-05-15,1351.0999755859375
2018-05-16,1370.0999755859375
2018-05-17,1364.8699951171875
2018-05-18,1345.199951171875
2018-05-21,1359.3399658203125
2018-05-22,1366.969970703125
2018-05-23,1373.949951171875
2018-05-24,1378.719970703125
2018-05-25,1390.8399658203125
2018-05-29,1380.9200439453125
2018-05-30,1389.9100341796875
2018-05-31,1379.0
2018-06-01,1411.31005859375
2018-06-04,1422.6700439453125
2018-06-05,1428.510009765625
2018-06-06,1437.93994140625
2018-06-07,1424.3399658203125
2018-06-08,1412.2900390625
2018-06-11,1408.989990234375
2018-06-12,1416.3699951171875
2018-06-13,1414.47998046875
2018-06-14,1423.1199951171875
2018-06-15,1422.0400390625
2018-06-18,1407.9100341796875
2018-06-19,1391.5799560546875
2018-06-20,1398.5999755859375
2018-06-21,1381.010009765625
2018-06-22,1371.0
2018-06-25,1328.0400390625
2018-06-26,1333.4000244140625
2018-06-27,1300.510009765625
2018-06-28,1311.6400146484375
2018-06-29,1313.699951171875
2018-07-02,1321.81005859375
2018-07-03,1297.7099609375
2018-07-05,1332.9599609375
2018-07-06,1349.18994140625
2018-07-09,1358.030029296875
2018-07-10,1372.25
2018-07-11,1336.7099609375
2018-07-12,1346.199951171875
2018-07-13,1340.8299560546875
2018-07-16,1339.239990234375
2018-07-17,1358.989990234375
2018-07-18,1369.4599609375
2018-07-19,1365.8199462890625
2018-07-20,1359.18994140625
2018-07-23,1361.3800048828125
2018-07-24,1346.5799560546875
2018-07-25,1353.1500244140625
2018-07-26,1378.4200439453125
2018-07-27,1372.239990234375
2018-07-30,1358.56005859375
2018-07-31,1367.469970703125
2018-08-01,1365.1099853515625
2018-08-02,1378.8299560546875
2018-08-03,1381.6400146484375
2018-08-06,1389.219970703125
2018-08-07,1400.0
2018-08-08,1403.77001953125
2018-08-09,1389.06005859375
2018-08-10,1354.800048828125
2018-08-13,1356.75
2018-08-14,1354.18994140625
2018-08-15,1334.8599853515625
2018-08-16,1333.0899658203125
2018-08-17,1323.4100341796875
2018-08-20,1322.0999755859375
2018-08-21,1348.280029296875
2018-08-22,1354.530029296875
2018-08-23,1356.1300048828125
2018-08-24,1375.8800048828125
2018-08-27,1397.4599609375
2018-08-28,1402.949951171875
2018-08-29,1406.3800048828125
2018-08-30,1393.1700439453125
2018-08-31,1401.199951171875
2018-09-04,1410.9300537109375
2018-09-05,1403.8199462890625
2018-09-06,1366.3499755859375
2018-09-07,1360.77001953125
2018-09-10,1375.739990234375
2018-09-11,1361.8900146484375
2018-09-12,1346.02001953125
2018-09-13,1362.199951171875
2018-09-14,1377.31005859375
2018-09-17,1357.47998046875
2018-09-18,1368.8699951171875
2018-09-19,1371.6800537109375
2018-09-20,1387.6700439453125
2018-09-21,1383.0899658203125
2018-09-24,1388.4599609375
2018-09-25,1364.8199462890625
2018-09-26,1351.8499755859375
2018-09-27,1357.8699951171875
2018-09-28,1366.739990234375
2018-10-01,1370.43994140625
2018-10-02,1370.8699951171875
2018-10-03,1372.4000244140625
2018-10-04,1347.1600341796875
2018-10-05,1315.8399658203125
2018-10-08,1301.0
2018-10-09,1300.1500244140625
2018-10-10,1242.0999755859375
2018-10-11,1229.3599853515625
2018-10-12,1253.5799560546875
2018-10-15,1241.8199462890625
2018-10-16,1282.949951171875
2018-10-17,1277.31005859375
2018-10-18,1245.300048828125
2018-10-19,1225.93994140625
2018-10-22,1234.199951171875
2018-10-23,1227.6099853515625
2018-10-24,1146.4100341796875
2018-10-25,1173.2099609375
2018-10-26,1153.0
2018-10-29,1140.1500244140625
2018-10-30,1187.5699462890625
2018-10-31,1202.300048828125
2018-11-01,1258.0799560546875
2018-11-02,1239.1600341796875
2018-11-05,1228.5999755859375
2018-11-06,1242.6300048828125
2018-11-07,1257.469970703125
2018-11-08,1252.22998046875
2018-11-09,1229.050048828125
2018-11-12,1174.489990234375
2018-11-13,1190.3699951171875
2018-11-14,1194.7099609375
2018-11-15,1234.6199951171875
2018-11-16,1220.1400146484375
2018-11-19,1173.010009765625
2018-11-20,1174.8199462890625
2018-11-21,1179.72998046875
2018-11-23,1179.239990234375
2018-11-26,1201.719970703125
2018-11-27,1204.0799560546875
2018-11-28,1231.449951171875
2018-11-29,1221.4300537109375
2018-11-30,1239.5999755859375
2018-12-03,1272.739990234375
2018-12-04,1209.3499755859375
2018-12-06,1202.8299560546875
2018-12-07,1157.8599853515625
2018-12-10,1174.18994140625
2018-12-11,1181.47998046875
2018-12-12,1198.9000244140625
2018-12-13,1194.5899658203125
2018-12-14,1177.5699462890625
2018-12-17,1162.4599609375
2018-12-18,1177.3599853515625
2018-12-19,1127.43994140625
2018-12-20,1117.739990234375
2018-12-21,1101.2900390625
2018-12-24,1069.3900146484375
2018-12-26,1131.0999755859375
2018-12-27,1139.489990234375
2018-12-28,1147.3699951171875
2018-12-31,1155.1700439453125
2019-01-02,1165.300048828125
2019-01-03,1096.030029296875
2019-01-04,1143.9599609375
2019-01-07,1166.239990234375
2019-01-08,1160.550048828125
2019-01-09,1189.8399658203125
2019-01-10,1201.4000244140625
2019-01-11,1213.0400390625
2019-01-14,1194.280029296875
2019-01-15,1197.030029296875
2019-01-16,1187.18994140625
2019-01-17,1200.760009765625
2019-01-18,1228.3299560546875
2019-01-22,1193.3599853515625
2019-01-23,1185.949951171875
2019-01-24,1253.9100341796875
2019-01-25,1281.1600341796875
2019-01-28,1254.4000244140625
2019-01-29,1236.25
2019-01-30,1271.760009765625
2019-01-31,1272.0899658203125
2019-02-01,1287.4000244140625
2019-02-04,1293.8800048828125
2019-02-05,1300.1300048828125
2019-02-06,1333.760009765625
2019-02-07,1303.9200439453125
2019-02-08,1302.4200439453125
2019-02-11,1308.8800048828125
2019-02-12,1336.719970703125
2019-02-13,1340.7099609375
2019-02-14,1344.1099853515625
2019-02-15,1351.1800537109375
2019-02-19,1348.489990234375
2019-02-20,1360.280029296875
2019-02-21,1350.25
2019-02-22,1364.780029296875
2019-02-25,1375.949951171875
2019-02-26,1366.5799560546875
2019-02-27,1349.8699951171875
2019-02-28,1350.199951171875
2019-03-01,1363.1300048828125
2019-03-04,1363.25
2019-03-05,1356.9000244140625
2019-03-06,1333.8199462890625
2019-03-07,1319.0899658203125
2019-03-08,1318.2099609375
2019-03-11,1349.8800048828125
2019-03-12,1355.1199951171875
2019-03-13,1360.77001953125
2019-03-14,1353.06005859375
2019-03-15,1392.3599853515625
2019-03-18,1388.77001953125
2019-03-19,1407.3499755859375
2019-03-20,1393.010009765625
2019-03-21,1441.8299560546875
2019-03-22,1400.3699951171875
2019-03-25,1382.75
2019-03-26,1396.75
2019-03-27,1376.47998046875
2019-03-28,1373.800048828125
2019-03-29,1395.510009765625
2019-04-01,1430.239990234375
2019-04-02,1431.6300048828125
2019-04-03,1464.18994140625
2019-04-04,1465.8900146484375
2019-04-05,1477.6500244140625
2019-04-08,1481.3800048828125
2019-04-09,1464.52001953125
2019-04-10,1477.1600341796875
2019-04-11,1476.0699462890625
2019-04-12,1497.1199951171875
2019-04-15,1485.8199462890625
2019-04-16,1533.219970703125
2019-04-17,1557.0799560546875
2019-04-18,1558.1300048828125
2019-04-22,1558.2900390625
2019-04-23,1574.050048828125
2019-04-24,1589.02001953125
2019-04-25,1560.3199462890625
2019-04-26,1547.4000244140625
2019-04-29,1544.43994140625
2019-04-30,1556.1800537109375
2019-05-01,1543.47998046875
2019-05-02,1560.6099853515625
2019-05-03,1570.699951171875
2019-05-06,1543.72998046875
2019-05-07,1506.3199462890625
2019-05-08,1494.47998046875
2019-05-09,1476.800048828125
2019-05-10,1478.8699951171875
2019-05-13,1408.949951171875
2019-05-14,1442.8299560546875
2019-05-15,1454.5
2019-05-16,1430.1099853515625
2019-05-17,1402.010009765625
2019-05-20,1345.5799560546875
2019-05-21,1374.2099609375
2019-05-22,1345.0400390625
2019-05-23,1322.8399658203125
2019-05-24,1311.969970703125
2019-05-28,1300.300048828125
2019-05-29,1305.5699462890625
2019-05-30,1315.2900390625
2019-05-31,1296.1800537109375
2019-06-03,1300.52001953125
2019-06-04,1355.260009765625
2019-06-05,1345.0999755859375
2019-06-06,1363.1300048828125
2019-06-07,1378.81005859375
2019-06-10,1413.8900146484375
2019-06-11,1418.02001953125
2019-06-12,1384.949951171875
2019-06-13,1392.93994140625
2019-06-14,1356.550048828125
2019-06-17,1347.8599853515625
2019-06-18,1406.1600341796875
2019-06-19,1407.300048828125
2019-06-20,1421.030029296875
2019-06-21,1410.5
2019-06-24,1412.0799560546875
2019-06-25,1391.1199951171875
2019-06-26,1435.8299560546875
2019-06-27,1456.9000244140625
2019-06-28,1458.9599609375
2019-07-01,1497.550048828125
2019-07-02,1476.8299560546875
2019-07-03,1470.489990234375
2019-07-05,1461.699951171875
2019-07-08,1450.4100341796875
2019-07-09,1461.2099609375
2019-07-10,1471.510009765625
2019-07-11,1476.280029296875
2019-07-12,1504.280029296875
2019-07-15,1515.9200439453125
2019-07-16,1499.6400146484375
2019-07-17,1503.8699951171875
2019-07-18,1526.969970703125
2019-07-19,1523.9100341796875
2019-07-22,1554.0899658203125
2019-07-23,1573.27001953125
2019-07-24,1622.02001953125
2019-07-25,1594.1199951171875
2019-07-26,1593.8599853515625
2019-07-29,1598.02001953125
2019-07-30,1593.8199462890625
2019-07-31,1542.43994140625
2019-08-01,1511.97998046875
2019-08-02,1488.4300537109375
2019-08-05,1423.52001953125
2019-08-06,1441.77001953125
2019-08-07,1452.1199951171875
2019-08-08,1491.260009765625
2019-08-09,1464.3399658203125
2019-08-12,1446.97998046875
2019-08-13,1489.6600341796875
2019-08-14,1442.5400390625
2019-08-15,1439.2900390625
2019-08-16,1479.25
2019-08-19,1506.989990234375
2019-08-20,1498.9000244140625
2019-08-21,1512.719970703125
2019-08-22,1512.25
2019-08-23,1446.3800048828125
2019-08-26,1458.8800048828125
2019-08-27,1454.1199951171875
2019-08-28,1462.8499755859375
2019-08-29,1495.8199462890625
2019-08-30,1504.9200439453125
2019-09-03,1478.3199462890625
2019-09-04,1519.550048828125
2019-09-05,1566.2099609375
2019-09-06,1568.3399658203125
2019-09-09,1576.3900146484375
2019-09-10,1583.1500244140625
2019-09-11,1606.18994140625
2019-09-12,1610.7900390625
2019-09-13,1605.6500244140625
2019-09-16,1594.489990234375
2019-09-17,1599.739990234375
2019-09-18,1600.949951171875
2019-09-19,1592.0699462890625
2019-09-20,1563.0
2019-09-23,1578.0899658203125
2019-09-24,1551.989990234375
2019-09-25,1579.56005859375
2019-09-26,1580.0999755859375
2019-09-27,1542.8699951171875
2019-09-30,1558.75
2019-10-01,1544.199951171875
2019-10-02,1519.77001953125
2019-10-03,1545.760009765625
2019-10-04,1574.3900146484375
2019-10-07,1563.1700439453125
2019-10-08,1514.449951171875
2019-10-09,1540.8499755859375
2019-10-10,1555.7900390625
2019-10-11,1591.1300048828125
2019-10-14,1590.4000244140625
2019-10-15,1625.68994140625
2019-10-16,1601.7900390625
2019-10-17,1607.1600341796875
2019-10-18,1590.0899658203125
2019-10-21,1620.0400390625
2019-10-22,1607.5999755859375
2019-10-23,1576.5799560546875
2019-10-24,1615.510009765625
2019-10-25,1648.6700439453125
2019-10-28,1677.5699462890625
2019-10-29,1662.4599609375
2019-10-30,1661.4599609375
2019-10-31,1651.219970703125
2019-11-01,1689.9300537109375
2019-11-04,1726.9200439453125
2019-11-05,1730.1500244140625
2019-11-06,1715.6700439453125
2019-11-07,1727.6800537109375
2019-11-08,1736.780029296875
2019-11-11,1727.5899658203125
2019-11-12,1732.4200439453125
2019-11-13,1732.8599853515625
2019-11-14,1727.5899658203125
2019-11-15,1742.9300537109375
2019-11-18,1738.780029296875
2019-11-19,1730.5
2019-11-20,1710.1400146484375
2019-11-21,1690.8299560546875
2019-11-22,1690.7900390625
2019-11-25,1731.949951171875
2019-11-26,1723.260009765625
2019-11-27,1735.9100341796875
2019-11-29,1716.8399658203125
2019-12-02,1691.75
2019-12-03,1665.7099609375
2019-12-04,1691.449951171875
2019-12-05,1697.6600341796875
2019-12-06,1724.2099609375
2019-12-09,1714.97998046875
2019-12-10,1720.9000244140625
2019-12-11,1759.199951171875
2019-12-12,1806.8699951171875
2019-12-13,1796.0400390625
2019-12-16,1813.31005859375
2019-12-17,1821.9200439453125
2019-12-18,1820.2900390625
2019-12-19,1834.969970703125
2019-12-20,1853.8699951171875
2019-12-23,1857.1199951171875
2019-12-24,1862.199951171875
2019-12-26,1864.489990234375
2019-12-27,1858.5899658203125
2019-12-30,1844.3900146484375
2019-12-31,1849.6199951171875
2020-01-02,1887.9100341796875
2020-01-03,1853.97998046875
2020-01-06,1834.6800537109375
2020-01-07,1867.280029296875
2020-01-08,1867.5899658203125
2020-01-09,1878.72998046875
2020-01-10,1866.3499755859375
2020-01-13,1890.7900390625
2020-01-14,1894.6400146484375
2020-01-15,1872.1600341796875
2020-01-16,1903.9300537109375
2020-01-17,1916.6199951171875
2020-01-21,1915.0
2020-01-22,1930.22998046875
2020-01-23,1945.3699951171875
2020-01-24,1924.030029296875
2020-01-27,1848.8599853515625
2020-01-28,1893.27001953125
2020-01-29,1858.699951171875
2020-01-30,1855.800048828125
2020-01-31,1789.9300537109375
2020-02-03,1812.1800537109375
2020-02-04,1868.6500244140625
2020-02-05,1909.52001953125
2020-02-06,1909.6400146484375
2020-02-07,1864.3599853515625
2020-02-10,1892.800048828125
2020-02-11,1931.0799560546875
2020-02-12,1958.8199462890625
2020-02-13,1960.3399658203125
2020-02-14,1956.56005859375
2020-02-18,1929.1199951171875
2020-02-19,1979.5
2020-02-20,1949.25
2020-02-21,1891.050048828125
2020-02-24,1801.22998046875
2020-02-25,1746.1099853515625
2020-02-26,1749.949951171875
2020-02-27,1668.6500244140625
2020-02-28,1705.5400390625
2020-03-02,1765.3800048828125
2020-03-03,1705.260009765625
2020-03-04,1789.5699462890625
2020-03-05,1734.030029296875
2020-03-06,1699.8900146484375
2020-03-09,1558.1600341796875
2020-03-10,1656.5
2020-03-11,1562.5400390625
2020-03-12,1392.1099853515625
2020-03-13,1544.260009765625
2020-03-16,1298.780029296875
2020-03-17,1426.52001953125
2020-03-18,1286.8399658203125
2020-03-19,1341.219970703125
2020-03-20,1298.5400390625
2020-03-23,1342.1199951171875
2020-03-24,1491.8299560546875
2020-03-25,1472.5699462890625
2020-03-26,1572.6099853515625
2020-03-27,1488.75
2020-03-30,1545.31005859375
2020-03-31,1510.5899658203125
2020-04-01,1427.72998046875
2020-04-02,1474.6099853515625
2020-04-03,1443.0400390625
2020-04-06,1592.8800048828125
2020-04-07,1585.3800048828125
2020-04-08,1639.8900146484375
2020-04-09,1601.72998046875
2020-04-13,1623.6800537109375
2020-04-14,1695.760009765625
2020-04-15,1647.9100341796875
2020-04-16,1690.8699951171875
2020-04-17,1705.6400146484375
2020-04-20,1667.5699462890625
2020-04-21,1588.699951171875
2020-04-22,1682.1199951171875
2020-04-23,1664.6700439453125
2020-04-24,1702.56005859375
2020-04-27,1725.0400390625
2020-04-28,1713.2099609375
2020-04-29,1797.760009765625
2020-04-30,1731.239990234375
2020-05-01,1644.4000244140625
2020-05-04,1661.300048828125
2020-05-05,1689.5
2020-05-06,1707.75
2020-05-07,1724.9300537109375
2020-05-08,1775.6099853515625
2020-05-11,1774.31005859375
2020-05-12,1725.239990234375
2020-05-13,1691.5699462890625
2020-05-14,1739.050048828125
2020-05-15,1700.8900146484375
2020-05-18,1782.5400390625
2020-05-19,1775.6099853515625
2020-05-20,1840.7900390625
2020-05-21,1790.9599609375
2020-05-22,1802.31005859375
2020-05-26,1820.510009765625
2020-05-27,1847.31005859375
2020-05-28,1804.6600341796875
2020-05-29,1852.489990234375
2020-06-01,1843.239990234375
2020-06-02,1883.4100341796875
2020-06-03,1937.469970703125
2020-06-04,1953.469970703125
2020-06-05,2003.760009765625
2020-06-08,1998.6199951171875
2020-06-09,1998.0899658203125
2020-06-10,2004.6600341796875
2020-06-11,1876.6600341796875
2020-06-12,1903.8499755859375
2020-06-15,1931.010009765625
2020-06-16,1965.68994140625
2020-06-17,1984.0799560546875
2020-06-18,1980.1400146484375
2020-06-19,1966.7900390625
2020-06-22,1983.3599853515625
2020-06-23,1987.72998046875
2020-06-24,1944.300048828125
2020-06-25,1961.050048828125
2020-06-26,1921.9200439453125
2020-06-29,1943.9000244140625
2020-06-30,1996.43994140625
2020-07-01,1966.97998046875
2020-07-02,1993.6099853515625
2020-07-06,2046.81005859375
2020-07-07,2019.77001953125
2020-07-08,2049.760009765625
2020-07-09,2076.719970703125
2020-07-10,2069.7900390625
2020-07-13,2034.1400146484375
2020-07-14,2069.7900390625
2020-07-15,2064.169921875
2020-07-16,2055.919921875
2020-07-17,2068.989990234375
2020-07-20,2110.469970703125
2020-07-21,2096.590087890625
2020-07-22,2105.429931640625
2020-07-23,2070.969970703125
2020-07-24,2038.7099609375
2020-07-27,2104.6201171875
2020-07-28,2060.39990234375
2020-07-29,2106.300048828125
2020-07-30,2147.550048828125
2020-07-31,2136.409912109375
2020-08-03,2177.27001953125
2020-08-04,2209.81005859375
2020-08-05,2207.56005859375
2020-08-06,2204.93994140625
2020-08-07,2178.860107421875
2020-08-10,2179.60009765625
2020-08-11,2154.7900390625
2020-08-12,2227.219970703125
2020-08-13,2202.409912109375
2020-08-14,2200.81005859375
2020-08-17,2227.610107421875
2020-08-18,2214.659912109375
2020-08-19,2200.77001953125
2020-08-20,2181.0400390625
2020-08-21,2198.330078125
2020-08-24,2219.3701171875
2020-08-25,2243.06005859375
2020-08-26,2250.22998046875
2020-08-27,2220.14990234375
2020-08-28,2264.139892578125
2020-08-31,2260.429931640625
2020-09-01,2304.679931640625
2020-09-02,2370.179931640625
2020-09-03,2234.22998046875
2020-09-04,2212.72998046875
2020-09-08,2108.610107421875
2020-09-09,2169.610107421875
2020-09-10,2137.780029296875
2020-09-11,2136.3701171875
2020-09-14,2181.75
2020-09-15,2219.18994140625
2020-09-16,2195.5400390625
2020-09-17,2194.14990234375
2020-09-18,2160.969970703125
2020-09-21,2154.280029296875
2020-09-22,2180.260009765625
2020-09-23,2126.68994140625
2020-09-24,2147.419921875
2020-09-25,2177.840087890625
2020-09-28,2237.639892578125
2020-09-29,2242.52001953125
2020-09-30,2244.1201171875
2020-10-01,2291.77001953125
2020-10-02,2221.1201171875
2020-10-05,2295.56005859375
2020-10-06,2281.090087890625
2020-10-07,2328.840087890625
2020-10-08,2356.159912109375
2020-10-09,2398.0400390625
2020-10-12,2433.47998046875
2020-10-13,2430.1298828125
2020-10-14,2417.199951171875
2020-10-15,2411.1298828125
2020-10-16,2399.760009765625
2020-10-19,2385.85009765625
2020-10-20,2385.820068359375
2020-10-21,2367.260009765625
2020-10-22,2370.449951171875
2020-10-23,2360.22998046875
2020-10-26,2308.449951171875
2020-10-27,2300.909912109375
2020-10-28,2222.97998046875
2020-10-29,2283.64990234375
2020-10-30,2246.14990234375
2020-11-02,2260.070068359375
2020-11-03,2302.72998046875
2020-11-04,2384.219970703125
2020-11-05,2489.159912109375
2020-11-06,2529.27001953125
2020-11-09,2497.590087890625
2020-11-10,2422.330078125
2020-11-11,2511.239990234375
2020-11-12,2478.429931640625
2020-11-13,2508.820068359375
2020-11-16,2570.97998046875
2020-11-17,2548.9599609375
2020-11-18,2530.590087890625
