날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2024-12-01,197670.0,80828.0,80828.0,95814.0,80065.0,80005.0,60.0,1198552.0,459395.0,739157.0,739034.0,123.0,36577.0,110211.0,-86133.0,-9302.0,72731.0,37480.0,254521.0,40.89,40.5,31.06,17.98,62.15,1911.2,10990.0,6.4,107256.0,1.62,1304.0,0.75,11.25,728002365.0
2025-03-01,176391.0,74405.0,74405.0,92992.0,81082.0,81071.0,11.0,1239855.0,425467.0,814388.0,814240.0,147.0,36577.0,90237.0,-82185.0,5089.0,62842.0,27394.0,259838.0,42.18,45.97,37.94,22.88,52.24,2114.39,11136.0,5.34,117947.0,1.62,375.0,0.2,3.19,728002365.0
2025-06-01,222320.0,92129.0,92129.0,87226.0,69962.0,69972.0,-10.0,1290878.0,419453.0,871425.0,871272.0,153.0,36577.0,91662.0,-104515.0,-17798.0,43315.0,48347.0,243692.0,41.44,31.47,39.27,24.59,48.13,2298.84,9612.0,7.37,126196.0,2.31,375.0,0.13,3.7,728002365.0
2025-09-01,244489.0,113834.0,113834.0,147904.0,125975.0,125952.0,23.0,1484350.0,484288.0,1000063.0,999855.0,208.0,36577.0,143215.0,-142446.0,13749.0,50326.0,92889.0,265839.0,46.56,51.53,43.2,27.81,48.43,2636.87,17301.0,7.09,144811.0,2.4,375.0,0.11,2.06,728002365.0
2025-12-01,328267.0,191696.0,191696.0,176533.0,152460.0,152198.0,262.0,1761077.0,554409.0,1206668.0,1205162.0,1506.0,36577.0,208617.0,-151397.0,-15490.0,118706.0,89912.0,247578.0,58.4,46.44,44.15,29.02,45.95,3158.59,20906.0,11.04,174538.0,3.73,1875.0,0.29,8.66,728002365.0
2026-03-01,501046.0,,348753.0,358815.0,253866.0,295147.0,,,,,,,,,,,,,,69.6,50.67,,,,,41031.0,,,,,,,
2026-06-01,799266.0,,606008.0,632519.0,459667.0,488037.0,,,,,,,,,,,,,,75.82,57.51,,,,,68477.0,,,,,,,
2026-09-01,933964.0,,719960.0,764927.0,535130.0,587912.0,,,,,,,,,,,,,,77.09,57.3,,,,,82491.0,,,,,,,
