name,ticker,recipe,params,split,date,true_label,predicted_label,explained_class_name,prediction_probability,future_5d_return,base_value,rank,feature,shap_value,feature_value
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,1,tech_momentum_5d,1.2271649837493896,0.17136463861635542
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,2,tech_ma5_ratio,0.5441803336143494,0.06553079979767884
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,3,tech_bb_width,0.5247517228126526,0.35384119881976034
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,4,tech_macd_ratio,0.4522401988506317,0.07062314243797557
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,5,tech_atr14_ratio,-0.39267799258232117,0.041326815783233044
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,6,tech_volatility_20d,0.3885892629623413,0.04228164381966363
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,7,tech_macd_signal_ratio,0.24932652711868286,0.05949509353917394
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,8,tech_stochastic_d3,0.2463623434305191,0.9573249065290611
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,9,tech_stochastic_k14,0.19201257824897766,0.9963045520898485
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,10,tech_return_1d,0.19114261865615845,0.04474635745856337
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,11,tech_momentum_20d,-0.18603388965129852,0.321973209450223
nvidia,NVDA,technical_only,baseline_depth3,test,2024-03-07,0,0,down,0.958458423614502,-0.0509879090038118,0.007830599322915077,12,tech_intraday_range_ratio,0.16204270720481873,0.034153826622749905
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,1,tech_atr14_ratio,0.511085569858551,0.03653660465474972
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,2,tech_intraday_range_ratio,0.4755741059780121,0.017854655876748195
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,3,tech_volatility_20d,0.42643457651138306,0.02288468470208111
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,4,tech_bb_width,0.23051780462265015,0.12236112642244545
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,5,tech_ma5_ratio,0.10859985649585724,0.02539088917361143
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,6,tech_macd_hist_ratio,0.09782666712999344,-0.0018636207101350578
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,7,tech_macd_ratio,0.0881880447268486,0.006365133310947876
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,8,tech_stochastic_k14,0.0733700767159462,0.628733845866669
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,9,tech_bb_percent_b,-0.06018558517098427,0.6108948285112981
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,10,tech_ma20_ratio,-0.053094152361154556,0.01356921613106632
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,11,tech_ma10_ratio,0.052729032933712006,0.0330142893479517
nvidia,NVDA,technical_only,baseline_depth3,test,2024-12-05,0,1,up,0.8688749670982361,-0.0532193668180974,-0.007830599322915077,12,tech_stochastic_d3,0.04755612835288048,0.5541328969130794
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,1,tech_atr14_ratio,1.2386982440948486,0.015353805073431242
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,2,tech_bb_width,0.6889820098876953,0.045635591139369755
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,3,tech_macd_ratio,0.3366200923919678,-0.0017978769552781874
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,4,tech_stochastic_k14,0.25007790327072144,0.90625
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,5,tech_ma10_ratio,-0.20849160850048065,0.0214100640938224
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,6,tech_bb_percent_b,-0.1961928904056549,0.8431987708271564
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,7,tech_volatility_20d,0.18738524615764618,0.011010898288091561
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,8,tech_stochastic_d3,0.15906085073947906,0.5489267676767676
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,9,tech_ma5_ratio,0.15187475085258484,0.019880174291939
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,10,tech_intraday_range_ratio,0.14971859753131866,0.01335113484646195
samsung_electronics,005930,technical_only,depth3_regularized,test,2024-03-04,0,0,down,0.9593523144721985,-0.0333778371161548,-0.0007680380949750543,11,tech_return_1d,0.13977211713790894,0.02043596730245234
