run_id,ticker,name,market,rows,data_start,data_end,model_rows_2018_2024,recent_rows_2025_plus,train_rows,embargo_rows,validation_rows,test_rows,recent_regime_rows,label_horizon_trading_days,target_down_quantile,target_up_quantile,target_threshold_lower,target_threshold_upper,target_missing_rows,down_rows_5d,neutral_rows_5d,up_rows_5d,feature_columns,excluded_from_model_columns,max_core_feature_null_rate,max_model_feature_null_rate
20260520T155315691434Z-82034936,005930,samsung_electronics,KR,3000,2014-02-27,2026-05-20,1721,335,1204,10,253,254,335,5,0.3,0.7,-0.015996122258762305,0.017205003803988657,5,866,1141,988,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5","open,high,low,close,volume,return_pct,future_5d_date,future_5d_return,target_threshold_lower,target_threshold_upper",0.0,0.0
20260520T155315691434Z-82034936,000660,sk_hynix,KR,3000,2014-02-27,2026-05-20,1721,335,1204,10,253,254,335,5,0.3,0.7,-0.024967460988342238,0.025010460251045932,5,828,1123,1044,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5","open,high,low,close,volume,return_pct,future_5d_date,future_5d_return,target_threshold_lower,target_threshold_upper",0.0,0.0
20260520T155315691434Z-82034936,NVDA,nvidia,US,3868,2011-01-03,2026-05-20,1761,346,1232,10,259,260,346,5,0.3,0.7,-0.02124288350368254,0.041665175056324805,5,1061,1758,1044,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5","open,high,low,close,volume,return_pct,future_5d_date,future_5d_return,target_threshold_lower,target_threshold_upper",0.00749741468459152,0.0
