name,ticker,experiment,feature_family,split,class_label,class_name,feature,mean_abs_shap,mean_shap
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_rate_t_minus_1,0.003368529723957181,-0.0018842659192159772
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,usd_krw_t_minus_1,0.0601733960211277,-0.03594012185931206
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,nasdaq_t_minus_3,0.027668271213769913,-0.021858200430870056
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,sox_t_minus_3,0.054334625601768494,-0.054334625601768494
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,vix_t_minus_3,0.06336649507284164,0.05216594412922859
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_rate_t_minus_3,0.008280460722744465,0.00824732519686222
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,usd_krw_t_minus_3,0.040890276432037354,0.04067245498299599
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,nasdaq_t_minus_5,0.08135665953159332,0.08135665953159332
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,sox_t_minus_5,0.016057444736361504,-0.016029996797442436
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,vix_t_minus_5,0.06930211931467056,-0.026928480714559555
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_rate_t_minus_5,0.0011510823387652636,0.001145390560850501
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,usd_krw_t_minus_5,0.0843517929315567,-0.08120904117822647
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_10y_treasury_fred_t_minus_1,0.09245150536298752,0.09245150536298752
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_10y_treasury_fred_t_minus_3,0.07577795535326004,-0.0324862040579319
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_10y_treasury_fred_t_minus_5,0.29115626215934753,0.24269463121891022
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_2y_treasury_fred_t_minus_1,0.018369704484939575,-0.008820616640150547
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_2y_treasury_fred_t_minus_3,0.21603144705295563,-0.21603144705295563
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_2y_treasury_fred_t_minus_5,0.009423382580280304,0.0072685955092310905
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_10y_2y_spread_t_minus_1,0.06312612444162369,-0.06312612444162369
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_10y_2y_spread_t_minus_3,0.06712377071380615,-0.06427127122879028
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,us_10y_2y_spread_t_minus_5,0.12029094994068146,0.1058848425745964
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,broad_dollar_index_t_minus_1,0.02127525396645069,-0.0021110454108566046
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,broad_dollar_index_t_minus_3,0.03354644030332565,0.033068712800741196
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,broad_dollar_index_t_minus_5,0.022100569680333138,0.00697868037968874
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,smh_t_minus_1,0.03234486281871796,0.03234486281871796
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,smh_t_minus_3,0.02138989046216011,0.020381296053528786
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,smh_t_minus_5,0.020849086344242096,0.020849086344242096
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,soxx_t_minus_1,0.007149280980229378,-0.005599370691925287
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,soxx_t_minus_3,0.029566580429673195,0.029566580429673195
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,1,neutral,soxx_t_minus_5,0.12672117352485657,-0.12672117352485657
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,nasdaq_t_minus_1,0.08055911213159561,-0.08055911213159561
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,sox_t_minus_1,0.21277140080928802,-0.21277140080928802
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,vix_t_minus_1,0.01917477510869503,0.0022575485054403543
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,2,up,us_rate_t_minus_1,0.13728438317775726,-0.13728438317775726
