name,ticker,experiment,feature_family,split,date,true_label,predicted_label,predicted_class_name,prediction_probability,future_5d_return,base_value,rank,feature,shap_value,feature_value
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,2,sox_t_minus_1,0.43918147683143616,3908.85009765625
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,3,nasdaq_t_minus_1,0.3620343804359436,14510.2998046875
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,4,vix_t_minus_3,0.32143181562423706,13.199999809265137
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,5,sox_t_minus_5,0.2817002236843109,4175.47021484375
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,6,usd_krw_t_minus_5,0.21785412728786469,1277.8399658203125
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,7,us_rate_t_minus_1,0.1771647036075592,5.33
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,8,vix_t_minus_5,-0.17023301124572754,12.449999809265137
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,9,usd_krw_t_minus_1,-0.16132080554962158,1309.530029296875
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,10,sox_t_minus_3,0.11671830713748932,4023.0400390625
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,11,nasdaq_t_minus_5,-0.10439276695251465,15011.349609375
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-01-05,1,0,down,0.8674592971801758,-0.0247272727272727,-0.02383410930633545,12,broad_dollar_index_t_minus_1,0.07594254612922668,119.6208
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,1,broad_dollar_index_t_minus_3,0.512875497341156,127.3096
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,2,us_rate_t_minus_5,-0.4240550994873047,4.64
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,3,sox_t_minus_3,0.34243616461753845,5149.77978515625
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,4,sox_t_minus_1,-0.34097716212272644,5169.7900390625
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,5,sox_t_minus_5,-0.3392236828804016,5149.77978515625
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,6,nasdaq_t_minus_5,0.2890886068344116,19926.720703125
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,7,broad_dollar_index_t_minus_1,0.26926538348197937,127.5043
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,8,usd_krw_t_minus_1,0.22178541123867035,1431.3499755859375
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,9,nasdaq_t_minus_3,0.13284234702587128,19926.720703125
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,10,usd_krw_t_minus_5,-0.11757291108369827,1427.8599853515625
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,11,us_rate_t_minus_1,-0.11630524694919586,4.64
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,test,2024-12-18,0,2,up,0.4978521168231964,-0.0730245231607629,-0.016261763870716095,12,usd_krw_t_minus_3,0.09904449433088303,1427.8599853515625
